,level_upper,Название технического места
237,11-ZIF-ZIF4-GMO4-UFLT-FI02-VALV,Запорно-регулирующая арматура
238,03-ZIF-0GMO-OTRG-TA05,Чан контактный с пер. устр-вом поз.197
239,11-ZIF-Z123-ORP3-VE04,Вентилятор центробежный №В-14
240,71-TRA-AVTR-AVT2-TR0Y,Прицеп №МР5435
241,11-ZIF-Z123-ORP3-UPRR-TA02-KIPA,Оборудование КИПиА
242,11-ZIF-ZIF4-UPRG-PU24-KIPA,Оборудование КИПиА
243,11-ZIF-Z123-GMO1-OPKV-ASUT,АСУТП
244,11-ZIF-ZIF4-ORP4-UGRT-PU03,Насос центробежный №34-11
245,11-ZIF-Z123-ORP2-UMDR-CN02,Конвейер ленточный №2-2
246,03-KON-PVLV-VL07,Самосвал №2417
247,11-ENC-TEC1-KTKV-SHLD,"Шкафы, щиты, панели"
248,73-BOD-TRUC-TR15,Полуприцеп №АВ983338
249,05-SGE-CSPS-UPST-PW93,1КТП5 циан.
250,05-SGE-CTVS-KZIF-KTL1-TH04-TA01-DCMT,Машины электрические
251,05-ZIF-3GMU-1OSC-1UIC-PU03,Насос ц/б I.104.1
252,11-ENC-TEC1-TNC1-PIPE,Трубопроводы
253,71-TRA-AVTR-AVT1-TR55,Автофургон изотермический №Р235КН
254,05-ZIF-4GTS-HHVR,Хвостохранилище временное
255,73-BOD-TRUC-TR0S,ТЯГАЧ СЕДЕЛЬНЫЙ №Е151ВТ
256,74-TRA-TR28,Полуприцеп цистерна УСТ 94651L АЕ5113 14
257,11-ZIF-Z123-GMO1-UREG-TECH,Оборудование тепломеханическое
258,11-RUD-CGTR-SETT-UDOT-OS04,Автогрейдер №24
259,71-TRA-AVTR-AVT1-TR52,Машина комбинированная №Н944МХ124
260,11-ZIF-Z123-ORP2-LIFT,Оборудование грузоподъемное
261,71-TRA-AVTR-AVT1-TR1C,Погрузчик телескопический кв0359
262,11-ZIF-Z123-OBOK-BIO1-TA29,Реактор биоокисления №106-6-2
263,71-TRA-AVTR-AVT3-TR8A,Полуприцеп сортиментовоз
264,03-ZIF-0GMO-TA01-KIPA,Оборудование КИПиА
265,05-ZIF-3GMU-1OSC-5UOB-TA05,Чан обезвреживания с МПУ I.877
