,level_upper,Название технического места
5601,11-ZIF-Z123-OBOK-BIO2-TA21-KIPA,Оборудование КИПиА
5602,11-ZIF-Z123-STKM-UKM1-KO06,Компрессор винтовой №16
5603,71-TRA-AVTR-AVT3-TR1V,Полуприцеп №МС3047
5604,11-ZIF-Z123-ORP2-USGN-PU14-KIPA,Оборудование КИПиА
5605,05-SGE-CTVS-UTVS-UEXP-OSVK-KNS3-PUMP,Насосы
5606,71-NAZ-OPRN-PUMP,Насосы
5607,71-TRA-AVTR-AVT2-TR2Z,Топливозаправщик №Н883ММ124
5608,05-SGE-CSPS-UPST-PW10,ТП-27 РД-13 БШД Юг-2
5609,11-ZIF-Z123-GMO2-USR2-TA23,Колонна
5610,05-SGE-CTVS-UKTL-U372-PI10,Трубопр.канализ.Сети канал.кот.МКУ 3.72
5611,05-ZIF-2ORP-2OGR-MQ12,Концентратор гравитац. I.046.3
5612,05-ZIF-2ORP-1OIZ-HC01-HC22,Гидроциклон I.006.7
5613,72-OMK-TRUC-TR9O,Автобус специальный УЗСТ А149АМ
5614,71-TRA-AVTR-AVT3-TR4U,Тягач седельный №Р248КН
5615,11-ZIF-ZIF4-ORP4-PW05-TRNS,Трансформаторы
5616,05-SGE-CTVS-KZIF-KTL1-TH03-KIPA,Оборудование КИПиА
5617,05-ZIF-2ORP-2OGR-PU02,Насос пульповый I.044.2
5618,11-ZIF-ZIF4-GMO4-USOC-PU41,Насос центробежный №162-3
5619,05-SGE-CTVS-UKTL-KSTZ-HEEX,Теплообменники
5620,05-SGE-CTVS-UKTL-UKOP-TA04-KIPA,Оборудование КИПиА
5621,05-SGE-CSPS-UPST-PW01-DISD,Устройства распределительные
5622,11-ZIF-Z123-ORP3-RP06,Распределительный пункт РП-6
5623,11-ZIF-Z123-ORP3-UPRR-TA07,Чан расходный №72
5624,05-SGE-CSPS-UPST-PW28,ТП-43 ОМ-8 Насосная №2
5625,11-ZIF-Z123-ORP3-UFLT-MQ01-KIPA,Оборудование КИПиА
5626,11-MGO-CRGT-ENSL-VENT,Вентиляторы
5627,03-ZIF-0GMO-UOBS-TA05,Чан контактный поз.133
5628,11-ZIF-Z123-OBOK-BIO4-LAB4,Лаборатория-БИО-4
5629,03-UTS-0LOS-KOSV,Очистные сооружения ВП КОСВ.Б.200
5630,11-ZIF-ZIF4-GMO4-USOC-TA09-VALV,Запорно-регулирующая арматура
5631,05-ZIF-2ORP-2OGR-FI02-KIPA,Оборудование КИПиА
5632,11-ZIF-ZIF4-ORP4-UPRR-PU13-VALV,Запорно-регулирующая арматура поз.92
5633,73-BOD-TRUC-TR1D,Машина комбинир КО-829Б В218УВ49
5634,12-TRC-TR12,Автомобиль легковой LC 200 №T37700124
5635,71-TRA-AVTR-AVT2-TR3T,Самосвал №С359ЕВ124
5636,11-RUD-CGTR-SEBT-CC69,Самосвал карьерный №521
5637,03-POS-NETW,Системы связи
5638,11-ZIF-Z123-GMO2-UREG-SELC,Силовая электроника
5639,11-RUD-CGTR-SETT-UCTT-LF08,Погрузчик фронтальный №27
5640,74-TRA-TR49,Полуприцеп бортовой №АВ563514
5641,03-ZIF-ENSZ-KO05,Компрессор винтовой поз.97-1
5642,11-ZIF-Z123-ORP2-UIKR-EAPP,Аппараты электрические
5643,11-MGO-CRGT-RGBB-SPEC,Оборудование специального назначения
5644,11-ZIF-Z123-HVHZ,Хозяйство хвостовое
5645,11-ZIF-ZIF4-GMO4-USOC-PU33-KIPA,Оборудование КИПиА
5646,71-TRA-AVTR-AVT2-TR3Z,Топливозаправщик №С527МН
5647,05-KAR-UTTR-B702,Самосвал карьерный №35
5648,11-ZIF-Z123-GMO3-UOBZ-TA02-KIPA,Оборудование КИПиА
5649,05-SGE-CSPS-UPST-PW48,"""ТП-80 РД-13 Свар.п., Ангар№3""""ММ"""""""
5650,11-CSP-UPSG-PNER-EAPP,Аппараты электрические
5651,11-ZIF-Z123-GMO3-USRB-PU77-KIPA,Оборудование КИПиА
5652,11-ZIF-Z123-ORP2-UFLT-MQ11,Флотомашина №26-3
5653,12-TRC-TR01,Автомобиль легковой №А001ТЕ24
5654,11-ZIF-Z123-GMO1-USRB-TA17-KIPA,Оборудование КИПиА
5655,11-ZIF-Z123-GMO3-UOBZ-TA05,Чан контактный №211-4
5656,11-CSP-UPSG-POLM-DISD,Устройства распределительные
5657,11-ZIF-Z123-STKM-UNGR-TANK,Оборудование емкостное
5658,11-ZIF-Z123-STKM-PIPE,Трубопроводы
5659,74-TRA-TR33,Автофургон №Е052МВ14
5660,03-ZIF-0GMO-INTC-HCCL,Гидроциклоны
5661,11-ZIF-ZIF4-UPRG-PU29,Насос центробежный №А-21-4
5662,05-SGE-CTVS-UTVS-UEXP-BBPG-PI01,Трубопровод исх. воды с ЗРА Блок-бокс ПГ
5663,11-RUD-CGTR-SETT-UCTT-LF03,Погрузчик фронтальный №21
5664,03-TAK-CNST,Сооружения
5665,11-ZIF-Z123-GMO1-USRB-TA16,Колонна сорбции №103/2-10
5666,73-TAK-SKLA-SGSM,ПБ Таксимо. Склад ГСМ
5667,11-ZIF-Z123-ORP3-UMDR-CN03-KIPA,Оборудование КИПиА
5668,05-SGE-CTVS-UTVS-UEXP-ST2P-NS21-PIPE,Трубопроводы
5669,11-ZIF-Z123-OBOK-BIO1-TA07-KIPA,Оборудование КИПиА
5670,71-PPE-TEHS-AVRM-SHLD,"Шкафы, щиты, панели"
5671,11-ZIF-Z123-GMO2-USR2-PIPE,Трубопроводы
5672,03-ZIF-ORPO-UPFL-TA09-KIPA,Оборудование КИПиА
5673,71-PPE-SKLA-SGSM-CNST,Сооружения
5674,11-ZIF-ZIF4-GMO4-USOC-PU28,Насос центробежный №135а-2
5675,03-POS-BL20-KIPA,Оборудование КИПиА
5676,11-ZIF-Z123-OBOK-BIO2-TA15-KIPA,Оборудование КИПиА
5677,72-OMK-TRUC-TRG0,Автомобиль грузовой-борт.Hilux A324BE 49
5678,11-ZIF-ZIF4-GMO4-UFLT-FI01,Фильтр керамический вакуумный №145-1
5679,72-OMK-TRUC-TR69,Автобус специальный №В642ЕВ49
5680,71-TRA-AVTR-AVTP-TR92,Автомобиль пассажирский №Р028ЕТ124
5681,11-ZIF-Z123-UPPR-KIIZ-DEHY,Оборудование для обезвоживания и сушки
5682,73-BOD-TRUC-TR0Z,Седельный тягач № В938ОВ49
5683,03-UTS-KTL2-TH02,Котел водогрейный №2 БМК-10
5684,11-RUD-CGTR-SEBT-CC52,Самосвал карьерный №503
5685,11-ZIF-ZIF4-HVHZ-ASUT,АСУТП
5686,11-MGO-CRGT-GTOB-PUMP,Насосы
5687,05-SGE-CSPS-UPST-PW58,ТП-53 СК-3 Ст. котельная
5688,05-SGE-CSPS-UPST-PW78,КТП-57 СК-5 Скв. №127
5689,11-ZIF-Z123-GMO3-UKST-KO06-KIPA,Оборудование КИПиА
5690,74-TRA-TR52,Автотопливозаправщик О746ОХ124
5691,11-ZIF-Z123-GMO2-UREG-TA52,Сборник №250
5692,71-TRA-AVTR-AVT3-TR81,Полуприцеп сортиментовоз №НА1811
5693,73-BOD-TRUC-TR31,Полуприцеп №АМ6432
5694,11-ZIF-Z123-GMO2-USR1-PU05,Насос центробежный №199-6
5695,71-TRA-AVTR-AVT3-TR1N,Полуприцеп-цистерна №МС2973
5696,03-ZIF-0GMO-INTC-HC01,Батарея гидроциклонов Cavex 100 поз.66
5697,11-ZIF-ZIF4-ORP4-UFLT-PIPE,Трубопроводы
5698,11-ZIF-Z123-ORP3-UGRT-MQ02-KIPA,Оборудование КИПиА
5699,03-ZIF-ORPO-UPFL-PU17-KIPA,Оборудование КИПиА
5700,03-KON-PBLZ-TN02,Машина поливооросительная №2702
5701,72-OMK-UREM-BL02,Ремонтный бокс РБ
5702,11-ZIF-Z123-STKM-UKM2-KO02,Компрессор ц/б №11
5703,72-OMK-TRUC-TR0F,Полуприцеп цистерна №МЕ015249
5704,05-SGE-CSPS-UPST-PW50-DISD,Устройства распределительные
5705,11-ZIF-ZIF4-GMO4-UINC-PU13-VALV,Запорно-регулирующая арматура
5706,71-TRA-AVTR-AVT2-TR0B,Прицеп-самосвальный №МР541224
5707,03-ZIF-ROAD,"Тротуары, дороги, ж/д пути"
5708,05-KAR-UTTR-K704,Самосвал карьерный №12
5709,74-TRA-TR01,Самосвал №М763ЕТ14
5710,03-ZIF-0GMO-PU01,Насос поз.184-1
5711,11-ZIF-ZIF4-GMO4-UDKU-TA07,Емкость для обработки кислотой №280-1
5712,11-ZIF-ZIF4-ORP4-KKDR-BLDN,Здания производственные и бытовые
5713,05-KAR-UBVR-HP01,Станок буровой №1
5714,03-ZIF-CS14-KIPA,Оборудование КИПиА
5715,11-CSP-UPSB-PBLG-PWCO,Подстанции трансформаторные
5716,03-ZIF-0GMO-UOBS-DY01,Сгуститель поз.118
5717,05-ZIF-3GMU-1OSC-4US2-TA01,Емк. буферная I.127
5718,05-SGE-CTVS-UTVS-UEXP-SKOS-RZIF,Станция комплекс. очистки РОСА ЗИФ
5719,11-RUD-CGTR-SETT-UCTT-BZ50,Бульдозер гусеничный №43
5720,11-ZIF-ZIF4-ORP4-UIZK-PU14-VA02,Клапан. Нагнетание (О3-270)
5721,72-OMK-TRUC-TRC3,Автобус специальный В215СА124
5722,05-SGE-CSPS-UPST-PW33,"КТП-40/10/0,4 НГОК. Резерв"
5723,03-ZIF-ORPO-UPFL-TA02-KIPA,Оборудование КИПиА
5724,11-RUD-UOSS-UOSV-MACH,Оборудование станочное
5725,11-ZIF-Z123-GMO2-USR1-PU01,Насос мембранный №163-1/1
5726,03-ZIF-HHOZ-TA01-KIPA,Оборудование КИПиА
5727,11-ZIF-Z123-GMO3-URUG-TA06,Колонна неподвижного сорбента №238-4
5728,05-SGE-CSPS-UPST-PW94-TRNS,Трансформаторы
5729,11-ZIF-ZIF4-ORP4-UIZK-CN09,Конвейер ленточный №18-2
5730,11-ZIF-Z123-GMO3-UFLT-CN07,Конвейер ленточный №225-2
5731,11-ZIF-Z123-UPPR-KIIZ-PU01,Насос центробежный №10-1
5732,11-ENC-TEC1-BOIL,Котлы паровые
5733,71-TRA-AVTR-AVT2-TR1W,Прицеп №МС300424
5734,71-TRA-AVTR-AVT3-TR1Q,Полуприцеп-тяжеловоз №МС3041
5735,74-LIF,Грузоподъемное оборудование
5736,11-ZIF-Z123-ORP3-UIKR-TA14-KIPA,Оборудование КИПиА
5737,11-ZIF-ZIF4-ORP4-UDSF-PU06-KIPA,Оборудование КИПиА
5738,05-ZIF-2ORP-1OIZ-CN09,Конвейер изогн. вертикальный I.015
5739,11-MGO-CRGT-RGTT-CNST,Сооружения
5740,11-ZIF-Z123-GMO1-USRB-PU04-KIPA,Оборудование КИПиА
5741,11-ZIF-Z123-ORP1-UIKR-SI03-KIPA,Оборудование КИПиА
5742,05-ZIF-2ORP-2OGR-PU04,Насос пульповый I.044.4
5743,05-ZIF-3GMU-3OEL-TA07,Электролизер I.183.2
5744,11-ZIF-ZIF4-GMO4-UOSH-PU25-KIPA,Оборудование КИПиА
5745,11-ZIF-ZIF4-GMO4-UOSH-SPEC,Оборудование специального назначения
5746,11-ZIF-Z123-STKM-UKM1-KMP1-PW01-DISD,Устройства распределительные
5747,73-VER-SKLA-STMC-LGHT,Сети освещения
5748,11-OZH-OZVP-CNST,Сооружения
5749,11-ZIF-Z123-OBOK-BIO3-TA19,Реактор биоокисления №167-5-4
5750,11-RUD-VOST-UGVS-W304,Экскаватор электрический №07
5751,11-ZIF-ZIF4-GMO4-UOSH-TA21-VALV,Запорно-регулирующая арматура
5752,11-ZIF-Z123-OBOK-BIO1-TA23-KIPA,Оборудование КИПиА
5753,05-ZIF-2ORP-1OIZ-HC01-HC01,Гидроциклон I.006.1
5754,11-ZIF-Z123-ORP2-USGN-DY04,Сгуститель №80-3
5755,11-ZIF-Z123-OBOK-BIO1-PI09-KIPA,Оборудование КИПиА
5756,72-OMK-TRUC-TR19,Автомобиль легковой №А694АС49
5757,05-SGE-CTVS-KZIF-KTL1-TH04-VE02-KIPA,Оборудование КИПиА
5758,11-ZIF-Z123-OBOK-BIO3-TA13,Зумпф №1-39-1
5759,11-ICC-LAMS-KIPA,Оборудование КИПиА
5760,11-RUD-CGTR-SEBT-CD05,Самосвал карьерный №705
5761,03-UTS-PNS2-PUMP,Насосы
5762,03-ZIF-0GMO-INTC-TA01,Реактор поз.45
5763,11-ZIF-ZIF4-GMO4-USOC-PU24-KIPA,Оборудование КИПиА
5764,71-LES-SKLA-UVIS-SHLD,"Шкафы, щиты, панели"
5765,11-OZH-OZVP-BL08,Здание Общежитие №1 (62 м.кв)
5766,73-VER-SKLA-STMC,СХ Вернинское. Склад ТМЦ
5767,11-ZIF-Z123-ORP1-SHSU,Щиты станции управления(ЩСУ)
5768,11-ENC-UOS2-FU01-FIRE,АСПЗ (Противопожарные системы)
5769,12-OZH-CNST,Сооружения
5770,11-ZIF-Z123-ORP2-USGN-TA05,Чан контактный №85-2
5771,11-ZIF-Z123-ORP2-UIKR-PU07,Насос центробежный №25-2
5772,11-ZIF-Z123-ORP3-USDR-CN02,Конвейер ленточный №27-10
5773,71-TRA-AVTR-AVT2-TR06,Самосвал №А128ЕР124
5774,72-OMK-TRUC-TR1F,Машина вакуумная №С614МТ49
5775,05-ZIF-3GMU-1OSC-2UIK-PU09,Насос ц/б I.805.1
5776,11-ZIF-Z123-ORP2-USGN-DEHY,Оборудование для обезвоживания и сушки
5777,03-KON-PIVE-IVEC,Самосвалы IVECO
5778,11-ZIF-Z123-ORP1-PUMP,Насосы
5779,03-ZIF-0GMO-KO04-KIPA,Оборудование КИПиА
5780,11-ZIF-Z123-ORP3-USDR-CONV,Оборудование транспортно-конвейерное
5781,11-RUD-CGTR-SEBT-CC83,Самосвал карьерный №535
5782,11-RUD-UOSS-UOSB-WELL,Скважины
5783,11-ZIF-ZIF4-GMO4-UOPL-OV07-KIPA,Оборудование КИПиА
5784,73-VER,Вернинское (аренда)
5785,11-CSP-UAKS-OVEN,Печи
5786,11-ZIF-ZIF4-ORP4-UDSF,Участок доизмельч. и сгущ.флоток.ОРПиО-4
5787,03-TAK-TANK,Оборудование емкостное
5788,11-ZIF-Z123-OBOK-BIO2-PU22,Насос центробежный №156-2
5789,05-ZIF-2ORP-SPEC,Оборудование специального назначения
5790,14-OZH-BL13,Здание столовой на 18 посадочных мест
5791,11-ZIF-Z123-GMO3-URUG-TA07-KIPA,Оборудование КИПиА
5792,11-ZIF-Z123-UPVC-UCEN-TA03-KIPA,Оборудование КИПиА
5793,05-SGE-CTVS-UKTL-U928,"Установка модульно-котельная 9,28"
5794,72-OMK-TRUC-TR07,Автомобиль пассажир(спец) №А136АЕ49
5795,72-OMK-TRUC-TRD2,Автотопливозаправщик УЗСТ 6619-66 А705АУ
5796,71-TRA-AVTR-AVT3-TR1E,Полуприцеп №МС2952
5797,11-ZIF-ZIF4-UPRG-BLDN,Здания производственные и бытовые
5798,11-RUD-BLAG-ENSL-LINE,Линии воздушные и кабельные
5799,11-ZIF-Z123-STKM-UKM1-KMP1-RP04-POWR,Источники питания
5800,11-ZIF-ZIF4-GMO4-PW02-DISD,Устройства распределительные
5801,11-ZIF-Z123-GMO1-VENT,Вентиляторы
5802,11-ZIF-ZIF4-GMO4-UINC-TA04-VALV,Запорно-регулирующая арматура
5803,11-ENC-TEC2-TNC4-SHSU,Щиты станции управления(ЩСУ)
5804,11-ZIF-Z123-CS05,Здание склада серной кислоты
5805,11-ZIF-ZIF4-ORP4-PW01,Комплектная трансформаторная подстанция
5806,11-ZIF-Z123-GMO3-URUG-TA08-KIPA,Оборудование КИПиА
5807,73-VER-TRUC-TR43,Авто легковой грузопассажирский №О760ВА
5808,11-ZIF-ZIF4-GMO4-USOC-PU44-KIPA,Оборудование КИПиА
5809,11-ZIF-ZIF4-ORP4-UPRR-TA11-VALV,Запорно-регулирующая арматура поз.94
5810,05-SGE-CTVS-KZIF-KTL1-CN01,Конвейер ленточный 1-го п. №1
5811,11-ZIF-Z123-UOIZ-OV02,Печь шахтная известеобжиговая №4
5812,71-LES-UGEN-TPO2,Трансформаторная подстанция 2
5813,11-ZIF-Z123-UPPR-BL01-SHLD,"Шкафы, щиты, панели"
5814,05-SGE-CSPS-UPST-PW26,1КТП2 МШЦ
5815,11-ZIF-ZIF4-GMO4-USOC-PU40,Насос центробежный №162-1
5816,11-ZIF-Z123-GMO2-UOBZ-PUMP,Насосы
5817,11-ZIF-ZIF4-ORP4-UDSF-PU07,Насос центробежный №69-15
5818,11-ZIF-Z123-GMO1-OPKV-PU01,Насос центробежный №194-1
5819,72-OMK-TRUC-LF06,Погрузчик вилочный №49ММ2038
5820,11-ZIF-Z123-OBOK-BIO1-PI04,Пульподелитель 6-ти струйный №105-2
5821,11-ZIF-Z123-ORP3-USGN-DY02-ASUT,АСУТП
5822,11-RUD-CGTR-SEBT-CC43,Самосвал карьерный №444
5823,05-SGE-CSPS-UPST-UEPS-LGHT,Сети освещения
5824,05-SGE-CSPS-UPST-VDES-MAST,Мачты осветительные
5825,05-ZIF-4GTS-STFL-LIFT,Оборудование грузоподъемное
5826,74-TRA-TR45,Тягач бортовой №С271ЕХ14
5827,05-SGE-CSPS-UPST-PW02,КТП-45 СЗ-6 АБК Ст.ЗИФ
5828,11-ZIF-Z123-ORP3-UKRD-BL01-HT01-KIPA,Оборудование КИПиА
5829,11-ZIF-ZIF4-ORP4-UGRT-MQ07-KIPA,Оборудование КИПиА поз.43-3
5830,05-ZIF-4GTS-PPNS-CS01-HEAT,Оборудование отопления и кондиционир-я
5831,05-SGE-CTVS-KZIF-KTL1-PU03-KIPA,Оборудование КИПиА
5832,11-RUD-CGTR-SEBT-CF12,Самосвал карьерный №147
5833,05-ZIF-2ORP-2OGR-PU30-KIPA,Оборудование КИПиА
5834,11-ZIF-Z123-UOIZ-OV09,Печь шахтная известеобжиговая №6-6
5835,05-SGE-CSPS-UPST-PW94,1КТП3 ЭО циан.
5836,11-ZIF-Z123-ORP2-USGN-PUMP,Насосы
5837,03-ZIF-0GMO-INTC-TA05,Бак питания сорбционной колонны поз.46C
5838,05-ZIF-3GMU-1OSC-3US1-KIPA,Оборудование КИПиА
5839,05-ZIF-BL06-SY01,Автономный узел АБК ЗИФ
5840,11-ZIF-Z123-GMO3-UOBZ-PU01-KIPA,Оборудование КИПиА
5841,14-OZH-SGSM-CNST,Сооружения
5842,11-ZIF-Z123-ORP2-USGN-PU21,Насос центробежный №87
5843,73-TAK,ПБ Таксимо
5844,11-ZIF-Z123-GMO2-USR2-TA51-KIPA,Оборудование КИПиА
5845,11-ENC-TEC1-BO04,Котёл паровой
5846,11-ZIF-Z123-ORP2-USGN-KIPA,Оборудование КИПиА
5847,11-ZIF-Z123-UPVC-UCEN-DY08,Декантер №511-8
5848,71-TRA-AVTR-AVT1-TR96,Автомобиль специальный №О306ОЕ124
5849,11-ZIF-Z123-GMO3-DEHY,Оборудование для обезвоживания и сушки
5850,71-TRA-AVTR-AVT3-TR5T,Тягач седельный №Р735НК124
5851,03-ZIF-ORPO-UIZR-VE11,Установка вентиляционная поз.П-32
5852,71-TRA-AVTR-AVT2-TR5E,Самосвал №У520ХН24
5853,11-ZIF-ZIF4-ORP4-UGRT-MQ01,Концентратор №43-1
5854,11-ZIF-ZIF4-ORP4-KMDR-CN10-ASUT,АСУТП
5855,11-ZIF-Z123-GMO3-PW03-DISD,Устройства распределительные
5856,11-ZIF-ZIF4-HVHZ-PU12-KIPA,Оборудование КИПиА
5857,11-ZIF-Z123-UPPR-KPRK-TA09,Чан контактный №А-06
5858,05-ZIF-2ORP-2OGR-MQ47,Концентратор гравитац. I.068.8
5859,73-VER-TRUC-LF10,Автокран КС-55733 №А585ЕА138
5860,03-RUD-UOKA,Участок осушения карьера
5861,05-SGE-CTVS-UTVS-UEXP-PI14,Трубопр.ст.2 п.до п.на ВКПО Ду 150-600м
5862,11-ZIF-Z123-STKM-UKM1-KO13,Компрессор винтовой №К-11
5863,11-ZIF-ZIF4-ORP4-UDSF-DY01-ASUT,АСУТП
5864,05-ZIF-5UPR-PU05-KIPA,Оборудование КИПиА
5865,03-ZIF-ORPO-KIPA,Оборудование КИПиА
5866,05-KAR-UOGR-PF03,Погрузчик фронтальный №2
5867,11-ZIF-Z123-PLAV-OV06-KIPA,Оборудование КИПиА
5868,71-TRA-AVTR-AVT3-TR5M,Автоцистерна №Р336КН
5869,11-ZIF-Z123-GMO3-UDEL-TA18,Электролизер №311-4
5870,11-ZIF-Z123-ORP3-UGRT-PU04-VALV,Запорно-регулирующая арматура
5871,11-OZH-OZVP-BL17-VENT,Вентиляторы
5872,11-ZIF-Z123-GMO1-UREG-TA06,Колонна регенерации №111-2
5873,11-ZIF-Z123-UPVC-UCEN-TA01,Машина оттирочная №516-1
5874,11-RUD-CGTR-SETT-UDOT-BZ24,Бульдозер колесный №807
5875,71-TRA-AVTR-AVTP-TRV2,Автомобиль пассажирский №У298РК124
5876,05-SGE-CTVS-KZIF-KTL1-TH03,Котел водогр. твердотопливный №3
5877,71-PPE-SKLA-SGSM,СХ Еруда. Склад ГСМ
5878,11-ZIF-Z123-STKM-UKM2-KO15-KIPA,Оборудование КИПиА
5879,11-ZIF-ZIF4-ORP4-UIZK-PU15-VA01,Клапан. Всас (О3-171)
5880,05-SGE-CTVS-UKTL-K446-PI01,"Трубопровод с ЗРА БМК 4,46"
5881,71-TRA-AVTR-AVT3-TR8Y,Полуприцеп сортиментовоз №НВ365124
5882,05-ZIF-3GMU-1OSC-1UIC-PU04-KIPA,Оборудование КИПиА
5883,11-ZIF-Z123-UPPR-KPRK-TA03,Чан контактный №304-1
5884,11-ZIF-Z123-GMO3-USRB-PI34,Трубопровод технологический №4
5885,11-ZIF-Z123-ORP2-UFLT-MQ04-KIPA,Оборудование КИПиА
5886,11-ICC-LOMS-VIDE,Видеонаблюдение
5887,05-SGE-CSPS-UPST-PW90-TRNS,Трансформаторы
5888,74-CPS-AZSB,"Участок АЗС ""Боковая"""
5889,11-ZIF-ZIF4-ORP4-UGRT-PU09-KIPA,Оборудование КИПиА поз.69-8
5890,05-ZIF-3GMU-1OSC-5UOB-TA02,Чан обезвреживания с МПУ I.875.2
5891,71-PPE-TEHS-AVRM-FILT,Фильтры
5892,11-ZIF-Z123-OBFZ,Оборотный фонд оборудования
5893,05-SGE-CTVS-UTVS-UEXP-ST1P-WL03-SHLD,"Шкафы, щиты, панели"
5894,11-ZIF-ZIF4-GMO4-UINC-TA02-KIPA,Оборудование КИПиА
5895,03-ZIF-ORPO-UFLT-MQ01-KIPA,Оборудование КИПиА
5896,05-ZIF-2ORP-2OGR-SI11-KIPA,Оборудование КИПиА
5897,11-ZIF-ZIF4-HVHZ-PU11-KIPA,Оборудование КИПиА
5898,11-ZIF-ZIF4-ORP4-UFLT-PI03-KIPA,Оборудование КИПиА поз.61
5899,11-ZIF-Z123-ORP1-UIKR-GUTT,Короба и желоба
5900,71-TRA-AVTR-AVTP-TR22,Автомобиль пассажирский №А973НН
5901,05-SGE-CTVS-UTVS-UEXP-ST2P-STOB-PUMP,Насосы
5902,11-ZIF-ZIF4-GMO4-USOC-PU32-KIPA,Оборудование КИПиА
5903,71-TRA-AVTR-AVT2-TR23,Самосвал №В219УВ49
5904,11-ZIF-ZIF4-GMO4-UINC-TA02,Чан контактный №190
5905,71-TRA-AVTR-AVT2-TR40,Самосвал №В964АТ124
5906,11-ZIF-Z123-OBOK-BIO2-TA16-KIPA,Оборудование КИПиА
5907,11-ZIF-Z123-GMO1-UREG-TA08-KIPA,Оборудование КИПиА
5908,11-ZIF-Z123-OBOK-BIO2-HC01-KIPA,Оборудование КИПиА
5909,03-KON-0PDT-ODRS,Оборудование дорожно-строительное
5910,11-ZIF-ZIF4-ORP4-KSHF-PU02,Насос центробежный №2-2
5911,11-ZIF-Z123-UPPR-PW02,Комплектная трансформаторная подстанция
5912,11-ZIF-Z123-GMO2-BL01-VENT,Вентиляторы
5913,11-ZIF-Z123-ORP3-UIKR-CN09-ASUT,АСУТП
5914,11-ZIF-Z123-OBOK-BIO1-TA17,Реактор биоокисления №106-3-5
5915,11-ZIF-Z123-ORP3-UPRR-TA08,Чан расходный №76
5916,11-ZIF-Z123-OBOK-BIO3-MQ07-KIPA,Оборудование КИПиА
5917,11-ZIF-ZIF4-GMO4-PI02,Трубопроводы технологические №1263
5918,11-ZIF-Z123-ORP2-UIKR-CN08,Конвейер ленточный №9
5919,11-ZIF-Z123-GMO3-UKST-KO11-KIPA,Оборудование КИПиА
5920,11-ZIF-ZIF4-ORP4-UFLT-SI02,Грохот вибрационный №42-8
5921,03-ZIF-ORPO-GROH,Участок грохочения и классификации
5922,71-TRA-AVTR-AVT1-TR38,Автомобиль бортовой №Н907МХ124
5923,71-TRA-AVTR-AVT2-TR36,Самосвал №В948АТ124
5924,11-ZIF-Z123-ORP3-USGN-TA06,Чан контактный №107-5
5925,11-ZIF-Z123-GMO2-USR2-TA11-KIPA,Оборудование КИПиА
5926,03-PSL-MDSK-CONV,Оборудование транспортно-конвейерное
5927,71-TRA-AVTR-AVT3-TR2A,Полуприцеп сортиментовоз №МС9364
5928,11-ZIF-Z123-GMO3-UOBZ-TA13-KIPA,Оборудование КИПиА
5929,11-ZIF-ZIF4-GMO4-UOSH-PU33-KIPA,Оборудование КИПиА
5930,11-ZIF-Z123-GMO3-URUG-TA03,Колонна сорбции №238-1
5931,05-SGE-CSPS-UPST-TCHP-BB04,Секция шин №4
5932,11-999-1105,Удал. оборудование КБЕ ГТК
5933,11-ZIF-Z123-GMO3-USRB-PI18-KIPA,Оборудование КИПиА
5934,11-ZIF-Z123-GMO3-URUG-OV01-KIPA,Оборудование КИПиА
5935,11-RUP-OBFU,Оборотный фонд (За исключением АМУ)
5936,11-ZIF-ZIF4-ORP4-SELC,Силовая электроника
5937,11-ZIF-Z123-ORP2-PW02-DISD,Устройства распределительные
5938,11-ZIF-Z123-ORP2-UKDR-PUMP,Насосы
5939,11-ZIF-Z123-OBOK-BIO1-TA39,Емкость для кислоты №119-2
5940,11-ZIF-Z123-ORP3-UGRT-MQ03-KIPA,Оборудование КИПиА
5941,71-TRA-AVTR-AVT3-TR5P,Автоцистерна №Р383КН
5942,11-ZIF-ZIF4-ORP4-KSHF-PIPE,Трубопроводы
5943,11-OZH-OZVP-BL08-FIRE,АСПЗ (Противопожарные системы)
5944,03-ZAP-ZPOS-CONT,Резервуары
5945,71-TRA-AVTR-AVT1-TR40,Автомастерская №Н909ММ
5946,03-ZIF-HHOZ-TANK,Оборудование емкостное
5947,11-RUD-CBVZ-PV35,Станки буровые PV-351
5948,11-ICC-LGMP-SIZE,Оборуд-е для классификации по крупности
5949,03-KON-PVLV-VL03,Самосвал №2409
5950,11-ENC-TEC2-BO04-HEAT,Оборудование отопления и кондиционир-я
5951,11-ENC-TEC1-TNC3-BLDN,Здания производственные и бытовые
5952,71-TRA-AVTR-AVTP-TR5Q,Автобус VW Caravelle №У090ОМ124
5953,11-ENC-VODZ-SHIR-STNS,Станция насосная II подъема
5954,11-ZIF-Z123-HVHZ-SNOV-PU18,Передвижная насосная станция №3
5955,11-ZIF-Z123-HVHZ-PW07,Комплектная трансформаторная подстанция
5956,72-OMK-TRUC-TR0P,Полуприцеп сортиментовоз №МЕ049449
5957,14-OZH-MAST,Мачты осветительные
5958,05-SGE-CSPS-UPST-PW54,ТП-48 СЗ-8 ВКПО-306 общ.№9
5959,11-ZIF-ZIF4-UPRG-PU24-VALV,Запорно-регулирующая арматура
5960,11-ZIF-Z123-OBOK-BIO2-TA12,Реактор биоокисления №167-1-2
5961,11-CSP-UPSG-PNER-PWCO,Подстанции трансформаторные
