,Завод,ЕО код,ЕО описание,Основной Класс ЕО код,Основной Класс ЕО описание,Класс ЕО код,Техместо код,Техместо описание,Вышестоящее техместо код,Вышестоящее техместо наименование,Дата начала эксплуатации
51,Олимпиадинский ГОК,100000043335,Генератор привода подъема,E03_02,Экскаваторы электрич,Узлы,11-RUD-VOST-UGVS-E104,Экскаватор электрический №10,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1999
52,Олимпиадинский ГОК,100000043587,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E104,Экскаватор электрический №10,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1999
53,Олимпиадинский ГОК,100000062746,Экскаватор электрический ЭКГ-10 №10,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E104,Экскаватор электрический №10,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,01.04.1999
54,Олимпиадинский ГОК,100000065577,Самосвал карьерный БЕЛАЗ-7540А №52,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-BE07,Самосвал карьерный №52,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,01.06.2005
55,Олимпиадинский ГОК,100000038338,Двигатель внутр.сгорания №16940,E01_01,Самосвалы карьерные,Узлы. ДВС,11-RUD-CGTR-SEBT-BE02,Самосвал карьерный №21,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,02.06.2006
56,Олимпиадинский ГОК,100000065579,Самосвал карьерный БЕЛАЗ-7540А №54,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-BE09,Самосвал карьерный №54,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,01.07.2005
57,Олимпиадинский ГОК,100000065551,Самосвал карьерный HD785-5 №229,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH08,Самосвал карьерный №229,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,14.12.2005
58,Олимпиадинский ГОК,100000065552,Самосвал карьерный HD785-5 №232,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH11,Самосвал карьерный №232,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,16.03.2006
59,Олимпиадинский ГОК,100000065554,Самосвал карьерный HD785-5 №230,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH09,Самосвал карьерный №230,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,16.03.2006
60,Олимпиадинский ГОК,100000065555,Самосвал карьерный HD785-5 №233,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH12,Самосвал карьерный №233,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,16.03.2006
61,Олимпиадинский ГОК,100000065556,Самосвал карьерный HD785-5 №231,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH10,Самосвал карьерный №231,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,16.03.2006
62,Олимпиадинский ГОК,100000065557,Самосвал карьерный HD785-5 №234,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH13,Самосвал карьерный №234,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,02.06.2006
63,Олимпиадинский ГОК,100000065558,Самосвал карьерный HD785-5 №237,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH16,Самосвал карьерный №237,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,02.06.2006
64,Олимпиадинский ГОК,100000065560,Самосвал карьерный HD785-5 №235,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH14,Самосвал карьерный №235,11-999-1105,Удал. оборудование КБЕ ГТК,02.06.2006
65,Олимпиадинский ГОК,100000065561,Самосвал карьерный HD785-5 №236,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-KH15,Самосвал карьерный №236,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5,02.06.2006
66,Олимпиадинский ГОК,100000065581,Самосвал карьерный БЕЛАЗ-7540А №21,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-BE02,Самосвал карьерный №21,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,02.06.2006
67,Олимпиадинский ГОК,100000065582,Самосвал карьерный БЕЛАЗ-7540А №24,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-BE04,Самосвал карьерный №24,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,02.06.2006
68,Олимпиадинский ГОК,100000038729,Коробка передач,E01_01,Самосвалы карьерные,Узлы,11-RUD-CGTR-SEBT-BE05,Самосвал карьерный №25,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,14.09.2021
69,Олимпиадинский ГОК,100000065583,Самосвал карьерный БЕЛАЗ-7540А №25,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-BE05,Самосвал карьерный №25,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,02.06.2006
70,Олимпиадинский ГОК,100000065584,Самосвал карьерный БЕЛАЗ-7540А №22,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-BE03,Самосвал карьерный №22,11-RUD-CGTR-SEBT-BELZ,Самосвалы БелАЗ-7540,02.06.2006
71,Олимпиадинский ГОК,100000061756,Установка буровая CS1000 №8643ХА24,E02_02,Станки буровые вращ.,Станки буровые вращ. бур. коронками,11-GRS-UBUR-DR04,Установка буровая №8643ХА24,11-GRS-UBUR-DRIL,Оборудование буровое,18.09.2006
72,Олимпиадинский ГОК,100000043309,Генератор привода поворота,E03_02,Экскаваторы электрич,Узлы,11-RUD-VOST-UGVS-E108,Экскаватор электрический №21,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.11.2006
73,Олимпиадинский ГОК,100000043338,Генератор привода подъема,E03_02,Экскаваторы электрич,Узлы,11-RUD-VOST-UGVS-E108,Экскаватор электрический №21,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.11.2006
