Unnamed: 0,eo_code,eo_model_name,eo_model_id,strategy_id,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,operation_start_date,avearage_day_operation_hours,operation_finish_date,level_1_description,constr_type,avearage_day_operation_hours_updated,avearage_day_operation_hours 2,operation_status 01.03.2022,Дата ввода в экспл.(полностью включая день),Плановая дата вывода из эксплуат.(полностью включая день),Наработка 1.03.2022,ТипЕдОборуд,constr_type_description,Дата списания,Дата последнего капитального ремонта,Вышестоящая ЕО,Unnamed: 42,Unnamed: 43
52812,100000065976,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №426,11-RUD-CGTR-SEBT-CC25,1113011620,E01_01,Самосвалы карьерные,100000065976,Самосвал карьерный 785C №426,E01_01,Самосвалы карьерные,Самосвал карьерный №426,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC25,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-07-31,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,31.07.2011,01.07.2023,"100779,61",,,,,,,
52870,100000062381,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №427,11-RUD-CGTR-SEBT-CC26,1113011620,E01_01,Самосвалы карьерные,100000062381,Самосвал карьерный 785C №427,E01_01,Самосвалы карьерные,Самосвал карьерный №427,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC26,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-07-31,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,31.07.2011,01.07.2023,"82349,42",,,,,,,
53034,100000062382,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №428,11-RUD-CGTR-SEBT-CC27,1113011620,E01_01,Самосвалы карьерные,100000062382,Самосвал карьерный 785C №428,E01_01,Самосвалы карьерные,Самосвал карьерный №428,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC27,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-07-31,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,31.07.2011,01.07.2023,"81210,55",,,,,,,
53035,100000062383,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №429,11-RUD-CGTR-SEBT-CC28,1113011620,E01_01,Самосвалы карьерные,100000062383,Самосвал карьерный 785C №429,E01_01,Самосвалы карьерные,Самосвал карьерный №429,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC28,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-07-31,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,31.07.2011,01.07.2023,"82182,6",,,,,,,
53043,100000062384,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №430,11-RUD-CGTR-SEBT-CC29,1113011620,E01_01,Самосвалы карьерные,100000062384,Самосвал карьерный 785C №430,E01_01,Самосвалы карьерные,Самосвал карьерный №430,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC29,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2011-08-22,20.27,2023-07-01,Олимпиадинский ГОК,960000001,"20,2739726","20,2739726",Эксплуатация,22.08.2011,01.07.2023,"80449,92",,,,,,,
53057,100000062385,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №445,11-RUD-CGTR-SEBT-CC44,1113011620,E01_01,Самосвалы карьерные,100000062385,Самосвал карьерный 785C №445,E01_01,Самосвалы карьерные,Самосвал карьерный №445,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC44,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2014-06-19,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,19.06.2014,01.07.2025,"52817,3",,,,,,,
53099,100000062386,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №441,11-RUD-CGTR-SEBT-CC40,1113011620,E01_01,Самосвалы карьерные,100000062386,Самосвал карьерный 785C №441,E01_01,Самосвалы карьерные,Самосвал карьерный №441,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC40,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2014-06-19,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,19.06.2014,01.07.2025,"56469,4",,,,,,,
53155,100000062387,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №444,11-RUD-CGTR-SEBT-CC43,1113011620,E01_01,Самосвалы карьерные,100000062387,Самосвал карьерный 785C №444,E01_01,Самосвалы карьерные,Самосвал карьерный №444,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC43,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2014-06-19,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,19.06.2014,01.07.2025,"56759,7",,,,,,,
54001,100000062388,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №443,11-RUD-CGTR-SEBT-CC42,1113011620,E01_01,Самосвалы карьерные,100000062388,Самосвал карьерный 785C №443,E01_01,Самосвалы карьерные,Самосвал карьерный №443,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC42,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2014-06-19,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,19.06.2014,01.07.2025,"59548,89",,,,,,,
54004,100000062389,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №442,11-RUD-CGTR-SEBT-CC41,1113011620,E01_01,Самосвалы карьерные,100000062389,Самосвал карьерный 785C №442,E01_01,Самосвалы карьерные,Самосвал карьерный №442,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC41,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2014-06-19,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,19.06.2014,01.07.2025,"56741,17",,,,,,,
54036,100000062390,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №435,11-RUD-CGTR-SEBT-CC34,1113011620,E01_01,Самосвалы карьерные,100000062390,Самосвал карьерный 785C №435,E01_01,Самосвалы карьерные,Самосвал карьерный №435,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC34,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2013-07-31,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,31.07.2013,01.07.2025,"66868,46",,,,,,,
54043,100000062391,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №431,11-RUD-CGTR-SEBT-CC30,1113011620,E01_01,Самосвалы карьерные,100000062391,Самосвал карьерный 785C №431,E01_01,Самосвалы карьерные,Самосвал карьерный №431,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC30,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2013-07-31,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,31.07.2013,01.07.2025,"65213,04",,,,,,,
54056,100000062392,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №434,11-RUD-CGTR-SEBT-CC33,1113011620,E01_01,Самосвалы карьерные,100000062392,Самосвал карьерный 785C №434,E01_01,Самосвалы карьерные,Самосвал карьерный №434,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC33,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2013-07-31,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,31.07.2013,01.07.2025,"57877,27",,,,,,,
54069,100000062393,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №432,11-RUD-CGTR-SEBT-CC31,1113011620,E01_01,Самосвалы карьерные,100000062393,Самосвал карьерный 785C №432,E01_01,Самосвалы карьерные,Самосвал карьерный №432,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC31,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2013-07-31,21.26,2025-07-01,Олимпиадинский ГОК,960000001,"21,2630137","21,2630137",Эксплуатация,31.07.2013,01.07.2025,"60451,26",,,,,,,
