БЕ,Класс ЕО,Тип конструкции,Техместо,МВЗ,Модель ЕО,ЕО,Наименоваание ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,Среднесуточная наработка,Наработка 1.03.2022,level_1
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD22,1113011920,Самосвалы CAT 793D,100000065538,Самосвал карьерный 793D №723,2018-06-25,2030-01-01,"20,7",28470,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD52,1113011920,Самосвалы CAT 793D,100000054853,Самосвал карьерный 793D №753,2020-11-23,2030-01-01,"21,5","10510,78",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD05,1113011920,Самосвалы CAT 793D,100000065518,Самосвал карьерный 793D №705,2017-11-30,2030-01-01,"20,9","33722,59",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD41,1113011920,Самосвалы CAT 793D,100000026810,Самосвал карьерный 793D №742,2019-12-16,2030-01-01,21,"17191,8",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD70,1113011920,Самосвалы CAT 793D,100000054987,Самосвал карьерный 793D №771,2021-08-27,2030-01-01,"21,5","4383,55",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD19,1113011920,Самосвалы CAT 793D,100000065535,Самосвал карьерный 793D №720,2018-05-18,2030-01-01,"20,7","28027,71",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD02,1113011920,Самосвалы CAT 793D,100000065515,Самосвал карьерный 793D №702,2017-11-03,2030-01-01,"20,9","33854,41",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD21,1113011920,Самосвалы CAT 793D,100000065537,Самосвал карьерный 793D №722,2018-05-31,2030-01-01,"20,7","28584,87",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD28,1113011920,Самосвалы CAT 793D,100000065544,Самосвал карьерный 793D №729,2018-08-17,2030-01-01,"20,7","27142,71",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD47,1113011920,Самосвалы CAT 793D,100000054848,Самосвал карьерный 793D №748,2020-10-11,2030-01-01,"21,5","11372,19",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD13,1113011920,Самосвалы CAT 793D,100000065519,Самосвал карьерный 793D №714,2018-02-26,2030-01-01,"20,7","29535,19",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD46,1113011920,Самосвалы CAT 793D,100000054846,Самосвал карьерный 793D №747,2020-10-08,2030-01-01,"21,5",11431,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD48,1113011920,Самосвалы CAT 793D,100000054849,Самосвал карьерный 793D №749,2020-10-19,2030-01-01,"21,5","11159,25",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD25,1113011920,Самосвалы CAT 793D,100000065541,Самосвал карьерный 793D №726,2018-07-28,2030-01-01,"20,7","27200,12",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD09,1113011920,Самосвалы CAT 793D,100000065525,Самосвал карьерный 793D №709,2018-02-05,2030-01-01,"20,9","30656,19",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD33,1113011920,Самосвалы CAT 793D,100000065513,Самосвал карьерный 793D №734,2018-09-20,2030-01-01,"20,7","26560,52",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD40,1113011920,Самосвалы CAT 793D,100000026809,Самосвал карьерный 793D №741,2019-11-23,2030-01-01,21,"17506,43",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD60,1113011920,Самосвалы CAT 793D,100000054861,Самосвал карьерный 793D №761,2021-02-08,2030-01-01,"21,5","8855,38",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD34,1113011920,Самосвалы CAT 793D,100000065511,Самосвал карьерный 793D №735,2018-09-30,2030-01-01,"20,7","26186,64",first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD45,1113011920,Самосвалы CAT 793D,100000054847,Самосвал карьерный 793D №746,2020-10-06,2030-01-01,"21,5",11167,first11
Олимпиадинский ГОК,Самосвалы карьерные,960003596,11-RUD-CGTR-SEBT-CD12,1113011920,Самосвалы CAT 793D,100000065527,Самосвал карьерный 793D №712,2018-02-22,2030-01-01,"20,9","28945,49",first11
