,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
75,1600129573,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
76,1600129724,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
77,1100359712,2022-01-28,9/26/2022,СГГС ГОД УТВГ НЕД УТВН ГИП,ОТКР ПКАЛ ДМНП KKMP,"24,00",Замена кузова,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
78,1600129659,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
79,1600129491,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
80,1600129498,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
81,1600129778,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
82,1600129765,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
83,1600129702,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
84,1600129378,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1621,СОРА ЗКПР,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
85,1600129371,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1621,СОРА ЗКПР,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
