,eo_code,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8
22599,100000065581,Самосвал карьерный БЕЛАЗ-7540А №21,11-RUD-CGTR-SEBT-BE02,1113011520.0,E01_01,Самосвалы карьерные,100000065581,Самосвал карьерный БЕЛАЗ-7540А №21,E01_01,Самосвалы карьерные,Самосвал карьерный №21,11-RUD-CGTR-SEBT-BELZ,first11-RUD-CGTR-SEBT-BE02,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22612,100000065582,Самосвал карьерный БЕЛАЗ-7540А №24,11-RUD-CGTR-SEBT-BE04,1113011520.0,E01_01,Самосвалы карьерные,100000065582,Самосвал карьерный БЕЛАЗ-7540А №24,E01_01,Самосвалы карьерные,Самосвал карьерный №24,11-RUD-CGTR-SEBT-BELZ,first11-RUD-CGTR-SEBT-BE04,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22626,100000065583,Самосвал карьерный БЕЛАЗ-7540А №25,11-RUD-CGTR-SEBT-BE05,1113011520.0,E01_01,Самосвалы карьерные,100000065583,Самосвал карьерный БЕЛАЗ-7540А №25,E01_01,Самосвалы карьерные,Самосвал карьерный №25,11-RUD-CGTR-SEBT-BELZ,first11-RUD-CGTR-SEBT-BE05,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
22640,100000065584,Самосвал карьерный БЕЛАЗ-7540А №22,11-RUD-CGTR-SEBT-BE03,1113011520.0,E01_01,Самосвалы карьерные,100000065584,Самосвал карьерный БЕЛАЗ-7540А №22,E01_01,Самосвалы карьерные,Самосвал карьерный №22,11-RUD-CGTR-SEBT-BELZ,first11-RUD-CGTR-SEBT-BE03,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29534,100000065592,Самосвал карьерный 777F №137,11-RUD-CGTR-SEBT-CF02,1113011120.0,E01_01,Самосвалы карьерные,100000065592,Самосвал карьерный 777F №137,E01_01,Самосвалы карьерные,Самосвал карьерный №137,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF02,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29543,100000065593,Самосвал карьерный 777F №136,11-RUD-CGTR-SEBT-CF01,1113011120.0,E01_01,Самосвалы карьерные,100000065593,Самосвал карьерный 777F №136,E01_01,Самосвалы карьерные,Самосвал карьерный №136,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF01,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29552,100000065594,Самосвал карьерный 777F №138,11-RUD-CGTR-SEBT-CF03,1113011120.0,E01_01,Самосвалы карьерные,100000065594,Самосвал карьерный 777F №138,E01_01,Самосвалы карьерные,Самосвал карьерный №138,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF03,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29561,100000065595,Самосвал карьерный 777F №140,11-RUD-CGTR-SEBT-CF05,1113011120.0,E01_01,Самосвалы карьерные,100000065595,Самосвал карьерный 777F №140,E01_01,Самосвалы карьерные,Самосвал карьерный №140,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF05,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29570,100000065596,Самосвал карьерный 777F №139,11-RUD-CGTR-SEBT-CF04,1113011120.0,E01_01,Самосвалы карьерные,100000065596,Самосвал карьерный 777F №139,E01_01,Самосвалы карьерные,Самосвал карьерный №139,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF04,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29762,100000028868,Самосвал карьерный 785C №401,11-RUD-CGTR-SEBT-CC01,1113011620.0,E01_01,Самосвалы карьерные,100000028868,Самосвал карьерный 785C №401,E01_01,Самосвалы карьерные,Самосвал карьерный №401,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC01,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29773,100000062367,Самосвал карьерный 785C №402,11-RUD-CGTR-SEBT-CC02,1113011620.0,E01_01,Самосвалы карьерные,100000062367,Самосвал карьерный 785C №402,E01_01,Самосвалы карьерные,Самосвал карьерный №402,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC02,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29805,100000062368,Самосвал карьерный 785C №406,11-RUD-CGTR-SEBT-CC06,1113011620.0,E01_01,Самосвалы карьерные,100000062368,Самосвал карьерный 785C №406,E01_01,Самосвалы карьерные,Самосвал карьерный №406,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC06,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29812,100000062369,Самосвал карьерный 785C №403,11-RUD-CGTR-SEBT-CC03,1113011620.0,E01_01,Самосвалы карьерные,100000062369,Самосвал карьерный 785C №403,E01_01,Самосвалы карьерные,Самосвал карьерный №403,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC03,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29821,100000062370,Самосвал карьерный 785C №404,11-RUD-CGTR-SEBT-CC04,1113011620.0,E01_01,Самосвалы карьерные,100000062370,Самосвал карьерный 785C №404,E01_01,Самосвалы карьерные,Самосвал карьерный №404,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC04,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29830,100000062371,Самосвал карьерный 785C №405,11-RUD-CGTR-SEBT-CC05,1113011620.0,E01_01,Самосвалы карьерные,100000062371,Самосвал карьерный 785C №405,E01_01,Самосвалы карьерные,Самосвал карьерный №405,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC05,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29955,100000062372,Самосвал карьерный 785C №407,11-RUD-CGTR-SEBT-CC07,1113011620.0,E01_01,Самосвалы карьерные,100000062372,Самосвал карьерный 785C №407,E01_01,Самосвалы карьерные,Самосвал карьерный №407,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC07,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29964,100000062373,Самосвал карьерный 785C №409,11-RUD-CGTR-SEBT-CC09,1113011620.0,E01_01,Самосвалы карьерные,100000062373,Самосвал карьерный 785C №409,E01_01,Самосвалы карьерные,Самосвал карьерный №409,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC09,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
29974,100000062374,Самосвал карьерный 785C №410,11-RUD-CGTR-SEBT-CC10,1113011620.0,E01_01,Самосвалы карьерные,100000062374,Самосвал карьерный 785C №410,E01_01,Самосвалы карьерные,Самосвал карьерный №410,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC10,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30064,100000062375,Самосвал карьерный 785C №408,11-RUD-CGTR-SEBT-CC08,1113011620.0,E01_01,Самосвалы карьерные,100000062375,Самосвал карьерный 785C №408,E01_01,Самосвалы карьерные,Самосвал карьерный №408,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC08,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30240,100000062376,Самосвал карьерный 785C №415,11-RUD-CGTR-SEBT-CC14,1113011620.0,E01_01,Самосвалы карьерные,100000062376,Самосвал карьерный 785C №415,E01_01,Самосвалы карьерные,Самосвал карьерный №415,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC14,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30249,100000062377,Самосвал карьерный 785C №414,11-RUD-CGTR-SEBT-CC13,1113011620.0,E01_01,Самосвалы карьерные,100000062377,Самосвал карьерный 785C №414,E01_01,Самосвалы карьерные,Самосвал карьерный №414,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC13,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30258,100000062378,Самосвал карьерный 785C №412,11-RUD-CGTR-SEBT-CC12,1113011620.0,E01_01,Самосвалы карьерные,100000062378,Самосвал карьерный 785C №412,E01_01,Самосвалы карьерные,Самосвал карьерный №412,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC12,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30265,100000062379,Самосвал карьерный 785C №411,11-RUD-CGTR-SEBT-CC11,1113011620.0,E01_01,Самосвалы карьерные,100000062379,Самосвал карьерный 785C №411,E01_01,Самосвалы карьерные,Самосвал карьерный №411,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC11,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30926,100000065562,Самосвал карьерный HD785-5 №238,11-RUD-CGTR-SEBT-KH17,1113011220.0,E01_01,Самосвалы карьерные,100000065562,Самосвал карьерный HD785-5 №238,E01_01,Самосвалы карьерные,Самосвал карьерный №238,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH17,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30935,100000065563,Самосвал карьерный HD785-5 №240,11-RUD-CGTR-SEBT-KH19,1113011220.0,E01_01,Самосвалы карьерные,100000065563,Самосвал карьерный HD785-5 №240,E01_01,Самосвалы карьерные,Самосвал карьерный №240,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH19,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
30944,100000065564,Самосвал карьерный HD785-5 №239,11-RUD-CGTR-SEBT-KH18,1113011220.0,E01_01,Самосвалы карьерные,100000065564,Самосвал карьерный HD785-5 №239,E01_01,Самосвалы карьерные,Самосвал карьерный №239,11-RUD-CGTR-SEBT-K785,first11-RUD-CGTR-SEBT-KH18,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32251,100000062380,Самосвал карьерный 785C №424,11-RUD-CGTR-SEBT-CC23,1113011620.0,E01_01,Самосвалы карьерные,100000062380,Самосвал карьерный 785C №424,E01_01,Самосвалы карьерные,Самосвал карьерный №424,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC23,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32579,100000065597,Самосвал карьерный 777F №141,11-RUD-CGTR-SEBT-CF06,1113011120.0,E01_01,Самосвалы карьерные,100000065597,Самосвал карьерный 777F №141,E01_01,Самосвалы карьерные,Самосвал карьерный №141,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF06,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32588,100000065598,Самосвал карьерный 777F №142,11-RUD-CGTR-SEBT-CF07,1113011120.0,E01_01,Самосвалы карьерные,100000065598,Самосвал карьерный 777F №142,E01_01,Самосвалы карьерные,Самосвал карьерный №142,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF07,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32597,100000065599,Самосвал карьерный 777F №143,11-RUD-CGTR-SEBT-CF08,1113011120.0,E01_01,Самосвалы карьерные,100000065599,Самосвал карьерный 777F №143,E01_01,Самосвалы карьерные,Самосвал карьерный №143,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF08,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
