maintanance_job_code,eo_code,maintanance_category_id,maintanance_name,maint_interval,downtime,man_hours,tr_service_interval
100000084396_37,100000084396,to5000,ТО8-5000,5000.0,20.0,30.0,
sl_730_1_55,sl_730_1,to5000,ТО8-5000,5000.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,5250.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,5250.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,5250.0,7.0,8.0,5250.0
100000084396_39,100000084396,tr1,ТР,5250.0,7.0,8.0,5250.0
sl_730_1_57,sl_730_1,tr1,ТР,5250.0,7.0,8.0,5250.0
100000008673_9,100000008673,tr,ТР,5250.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,5250.0,20.0,30.0,
100000008673_2,100000008673,to500,ТО-500,5500.0,4.5,6.75,
100000062379_2,100000062379,to500,ТО-500,5500.0,4.5,6.75,
100000065514_20,100000065514,to500,ТО-500,5500.0,5.0,7.5,
100000065514_15,100000065514,tr1,ТР,5500.0,7.0,8.0,5500.0
100000084396_39,100000084396,tr1,ТР,5500.0,7.0,8.0,5500.0
sl_730_1_57,sl_730_1,tr1,ТР,5500.0,7.0,8.0,5500.0
100000084396_31,100000084396,to500,ТО2-500,5500.0,11.0,16.5,
sl_730_1_49,sl_730_1,to500,ТО2-500,5500.0,11.0,16.5,
100000008673_9,100000008673,tr,ТР,5500.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,5500.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,5750.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,5750.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,5750.0,7.0,8.0,5750.0
100000084396_39,100000084396,tr1,ТР,5750.0,7.0,8.0,5750.0
sl_730_1_57,sl_730_1,tr1,ТР,5750.0,7.0,8.0,5750.0
100000008673_9,100000008673,tr,ТР,5750.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,5750.0,20.0,30.0,
100000065514_15,100000065514,tr1,ТР,6000.0,7.0,8.0,6000.0
100000084396_39,100000084396,tr1,ТР,6000.0,7.0,8.0,6000.0
sl_730_1_57,sl_730_1,tr1,ТР,6000.0,7.0,8.0,6000.0
100000008673_6,100000008673,to6000,ТО-6000,6000.0,8.8,13.2,
100000062379_6,100000062379,to6000,ТО-6000,6000.0,8.8,13.2,
100000065514_24,100000065514,to6000,ТО-6000,6000.0,10.9,16.35,
100000084396_44,100000084396,lining_partitial,СВч (частичная футеровка),6000.0,12.0,18.0,
sl_730_1_62,sl_730_1,lining_partitial,СВч (частичная футеровка),6000.0,12.0,18.0,
100000084396_33,100000084396,to1500,ТО4-1500,6000.0,13.0,19.5,
sl_730_1_51,sl_730_1,to1500,ТО4-1500,6000.0,13.0,19.5,
100000084396_34,100000084396,to2000,ТО5-2000,6000.0,14.0,21.0,
sl_730_1_52,sl_730_1,to2000,ТО5-2000,6000.0,14.0,21.0,
100000008673_9,100000008673,tr,ТР,6000.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,6000.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,6250.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,6250.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,6250.0,7.0,8.0,6250.0
100000084396_39,100000084396,tr1,ТР,6250.0,7.0,8.0,6250.0
sl_730_1_57,sl_730_1,tr1,ТР,6250.0,7.0,8.0,6250.0
100000008673_9,100000008673,tr,ТР,6250.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,6250.0,20.0,30.0,
100000008673_2,100000008673,to500,ТО-500,6500.0,4.5,6.75,
100000062379_2,100000062379,to500,ТО-500,6500.0,4.5,6.75,
100000065514_20,100000065514,to500,ТО-500,6500.0,5.0,7.5,
100000065514_15,100000065514,tr1,ТР,6500.0,7.0,8.0,6500.0
100000084396_39,100000084396,tr1,ТР,6500.0,7.0,8.0,6500.0
sl_730_1_57,sl_730_1,tr1,ТР,6500.0,7.0,8.0,6500.0
100000084396_31,100000084396,to500,ТО2-500,6500.0,11.0,16.5,
sl_730_1_49,sl_730_1,to500,ТО2-500,6500.0,11.0,16.5,
100000008673_9,100000008673,tr,ТР,6500.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,6500.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,6750.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,6750.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,6750.0,7.0,8.0,6750.0
100000084396_39,100000084396,tr1,ТР,6750.0,7.0,8.0,6750.0
