,месяц,Бизнес единица,Основной класс ЕО,Вышест. техместо,Заказ,Запланированные на январь и оставшиеся в январе,Запланированные на январь и перенесенные в другие месяцы,Перенесенные с января
186,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359030,1,0,0
187,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360793,0,1,0
188,март,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360793,0,0,1
189,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100359158,1,0,0
190,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381308,1,0,0
191,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100361278,1,0,0
192,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381308,1,0,0
193,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100363110,1,0,0
194,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359446,0,1,0
195,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-7,1100359446,0,0,1
196,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368882,0,1,0
197,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368882,0,0,1
198,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368846,0,1,0
199,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы БелАЗ-7547,1100368846,0,0,1
200,январь,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100354549,0,1,0
201,февраль,Полюс Вернинское,Экскаваторы электрич,Экскаваторы,1100354549,0,0,1
202,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360118,0,1,0
203,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100360118,0,0,1
204,январь,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381270,0,1,0
205,февраль,Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-8,1100381270,0,0,1
206,январь,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360349,0,1,0
207,март,Полюс Вернинское,Экскаваторы гидравли,Экскаваторы,1100360349,0,0,1
