,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month,статус переноса,planned_in_jan_and_remaining_in_jan,planned_in_jan_moved_to_somewhere,planned_in_jan_moved_to_feb,planned_in_jan_moved_to_mar,planned_in_jan_moved_to_apr,planned_in_jan_moved_to_may,planned_in_jan_moved_to_jun,planned_in_jan_moved_to_jul,planned_in_jan_moved_to_aug,planned_in_jan_moved_to_sep,planned_in_jan_moved_to_oct,planned_in_jan_moved_to_nov,planned_in_jan_moved_to_dec,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,level_1_description,Unnamed: 0,Название технического места
784,Самосвал карьерный HD785-7 №1613,100000008670,ТР Самосвал HD785-7 №1613,Текущий ремонт,APP1,1100381682,ТР Самосвал HD785-7 №1613,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-21,2022-06-11,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1613,03-CTT-KD05,1213011220.0,E01_01,Самосвалы карьерные,100000008670,Самосвал карьерный HD785-7 №1613,E01_01,Самосвалы карьерные,Самосвал №1613,03-CTT-K787,first03-CTT-KD05,first03,03,CTT,03-CTT,KD05,-,KD05,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
785,Самосвал карьерный HD1500-8 №1630,100000071921,Самосвал HD1500-8 №1630 МТЧ,Техническое обслуживание 3,APP1,1100364245,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-21,2022-07-22,6,7,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1630,03-CTT-KM10,1213011320.0,E01_01,Самосвалы карьерные,100000071921,Самосвал карьерный HD1500-8 №1630,E01_01,Самосвалы карьерные,Самосвал №1630,03-CTT-K150,first03-CTT-KM10,first03,03,CTT,03-CTT,KM10,-,KM10,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
786,Самосвал карьерный HD1500-8 №1627,100000022743,Самосвал HD1500-8 №1627 МТЧ,Техническое обслуживание 2,APP1,1100360256,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-22,2022-07-04,6,7,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1627,03-CTT-KM07,1213011320.0,E01_01,Самосвалы карьерные,100000022743,Самосвал карьерный HD1500-8 №1627,E01_01,Самосвалы карьерные,Самосвал №1627,03-CTT-K150,first03-CTT-KM07,first03,03,CTT,03-CTT,KM07,-,KM07,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
787,Самосвал карьерный HD1500-8 №1627,100000022743,ТР Самосвал HD1500-8 №1627,Текущий ремонт,APP1,1100381277,ТР Самосвал HD1500-8 №1627,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-22,2022-07-04,6,7,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1627,03-CTT-KM07,1213011320.0,E01_01,Самосвалы карьерные,100000022743,Самосвал карьерный HD1500-8 №1627,E01_01,Самосвалы карьерные,Самосвал №1627,03-CTT-K150,first03-CTT-KM07,first03,03,CTT,03-CTT,KM07,-,KM07,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
788,ЭД асинх YJ142A,100000025403,(ТО) YJ142A,Техническое обслуживание,APP1,1100359621,(ТО) YJ142A,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ142A,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
789,ЭД асинх  YJ13L3,100000025392,ТО Хода №2;  YJ13L3 К 047,Техническое обслуживание,APP1,1100358705,ТО Хода №2;  YJ13L3 К 047,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх  YJ13L3,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
790,ЭД асинх YJ56E,100000025402,(ТО)YJ56E,Техническое обслуживание,APP1,1100359543,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ56E,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
791,ЭД асинх  YJ13L3,100000025391,ТО YJ13L3 К 047,Техническое обслуживание,APP1,1100358727,ТО Хода №1;  YJ13L3 К 047,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх  YJ13L3,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
792,ЭД асинх YX3-121M-4,100000025398,(ТО)YX3-121M-4,Техническое обслуживание,APP1,1100359883,(ТО)YX3-121M-4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YX3-121M-4,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
793,ЭД асинх YJ13L4,100000025393,(ТО) YJ13L4,Текущий ремонт,APP1,1100359647,(ТР) YJ13L4,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ13L4,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
794,ЭД асинх YJ56E,100000025401,(ТО)YJ56E,Техническое обслуживание,APP1,1100359531,(ТО)YJ56E,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ56E,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
795,ЭД асинх YJ80A1,100000025406,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359560,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ ГИП  МТРЦ СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ80A1,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
796,ЭД асинх YJ80A1,100000025407,(ТО)YJ80A1,Техническое обслуживание,APP1,1100359584,(ТО)YJ80A1,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-23,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх YJ80A1,03-RUD-EKSK-OOBR-EX04,1212011520.0,E32_01,Двигатели асинхронные,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
797,Самосвал карьерный HD785-7 №1612,100000008669,ТР Самосвал HD785-7 №1612,Текущий ремонт,APP1,1100381667,ТР Самосвал HD785-7 №1612,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-23,2022-06-28,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1612,03-CTT-KD04,1213011220.0,E01_01,Самосвалы карьерные,100000008669,Самосвал карьерный HD785-7 №1612,E01_01,Самосвалы карьерные,Самосвал №1612,03-CTT-K787,first03-CTT-KD04,first03,03,CTT,03-CTT,KD04,-,KD04,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
798,Самосвал карьерный HD1500-8 №1628,100000022744,Самосвал HD1500-8 №1628 МТЧ,Техническое обслуживание 2,APP1,1100360283,Техническое обслуживание 2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-24,2022-06-24,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1628,03-CTT-KM08,1213011320.0,E01_01,Самосвалы карьерные,100000022744,Самосвал карьерный HD1500-8 №1628,E01_01,Самосвалы карьерные,Самосвал №1628,03-CTT-K150,first03-CTT-KM08,first03,03,CTT,03-CTT,KM08,-,KM08,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
799,Самосвал карьерный БЕЛАЗ-7547 №2442,100000068228,(ТО) БелАЗ 7451 СЛ №2,Техническое обслуживание 3,APP1,1100368879,(ТО3) БелАЗ 7451 СЛ №2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-24,2022-06-24,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2442,03-KON-OBSL-OB03,1245112123.0,E01_01,Самосвалы карьерные,100000068228,Самосвал карьерный БЕЛАЗ-7547 №2442,E01_01,Самосвалы карьерные,БелАЗ-7547 №2442,03-KON-OBSL-PBEL,first03-KON-OBSL-OB03,first03,03,KON,03-KON,OBSL,-,OBSL,OB03,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
800,Самосвал карьерный HD1500-8 №1628,100000022744,ТР Самосвал HD1500-8 №1628,Текущий ремонт,APP1,1100381179,ТР Самосвал HD1500-8 №1628,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-24,2022-06-24,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD1500-8 №1628,03-CTT-KM08,1213011320.0,E01_01,Самосвалы карьерные,100000022744,Самосвал карьерный HD1500-8 №1628,E01_01,Самосвалы карьерные,Самосвал №1628,03-CTT-K150,first03-CTT-KM08,first03,03,CTT,03-CTT,KM08,-,KM08,no_data,no_data,Полюс Вернинское,8146,Самосвалы Komatsu HD1500-8
801,Самосвал карьерный HD785-7 №1611,100000008668,ТР Самосвал HD785-7 №1611,Текущий ремонт,APP1,1100380630,ТР Самосвал HD785-7 №1611,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-26,2022-06-18,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1213011220.0,E01_01,Самосвалы карьерные,100000008668,Самосвал карьерный HD785-7 №1611,E01_01,Самосвалы карьерные,Самосвал №1611,03-CTT-K787,first03-CTT-KD03,first03,03,CTT,03-CTT,KD03,-,KD03,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
802,Самосвал карьерный HD785-7 №1611,100000008668,Самосвал HD785-7 №1611 МТЧ,Техническое обслуживание 1,APP1,1100359371,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-26,2022-06-18,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1611,03-CTT-KD03,1213011220.0,E01_01,Самосвалы карьерные,100000008668,Самосвал карьерный HD785-7 №1611,E01_01,Самосвалы карьерные,Самосвал №1611,03-CTT-K787,first03-CTT-KD03,first03,03,CTT,03-CTT,KD03,-,KD03,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
803,Самосвал карьерный БЕЛАЗ-7547 №2446,100000068232,ТО БелАЗ 7451 СЛ №6,Техническое обслуживание 1,APP1,1100368796,ТО-1 БелАЗ 7451 СЛ №6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-26,2022-06-26,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2446,03-KON-OBSL-OB07,1245112123.0,E01_01,Самосвалы карьерные,100000068232,Самосвал карьерный БЕЛАЗ-7547 №2446,E01_01,Самосвалы карьерные,БелАЗ-7547 №2446,03-KON-OBSL-PBEL,first03-KON-OBSL-OB07,first03,03,KON,03-KON,OBSL,-,OBSL,OB07,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
804,Экскаватор электрический WK-20 №1220,100000007087,Экскаватор WK-20 МТЧ,Техническое обслуживание 3,APP1,1100354544,Техническое обслуживание 3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-26,2022-07-05,6,7,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Экскаватор электрический WK-20 №1220,03-RUD-EKSK-OOBR-EX04,1212011520.0,E03_02,Экскаваторы электрические,100000007087,Экскаватор электрический WK-20 №1220,E03_02,Экскаваторы электрич,Экскаватор №1220,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX04,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
805,ЭД асинх Д-31,100000009357,(ТО) Д-31,Техническое обслуживание,APP1,1100359089,(ТО) Д-31,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-27,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх Д-31,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
806,ЭД асинх АИР112S4,100000009707,(ТО) АИР112S4,Техническое обслуживание,APP1,1100359169,(ТО) АИР112S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-07,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР112S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
807,Самосвал карьерный HD785-7 №1609,100000008666,Самосвал HD785-7 №1609,Техническое обслуживание 1,APP1,1100358972,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-27,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1609,03-CTT-KD01,1213011220.0,E01_01,Самосвалы карьерные,100000008666,Самосвал карьерный HD785-7 №1609,E01_01,Самосвалы карьерные,Самосвал №1609,03-CTT-K787,first03-CTT-KD01,first03,03,CTT,03-CTT,KD01,-,KD01,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
808,ЭД асинх АИР80S4,100000009708,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359342,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-07,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР80S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
809,ЭД асинх АИР100S4,100000009366,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359157,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-07,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР100S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
810,Самосвал карьерный БЕЛАЗ-7547 №2444,100000068230,ТО БелАЗ 7451 СЛ №4,Техническое обслуживание 3,APP1,1100368939,ТО-3 БелАЗ 7451 СЛ №4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-27,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный БЕЛАЗ-7547 №2444,03-KON-OBSL-OB05,1245112123.0,E01_01,Самосвалы карьерные,100000068230,Самосвал карьерный БЕЛАЗ-7547 №2444,E01_01,Самосвалы карьерные,БелАЗ-7547 №2444,03-KON-OBSL-PBEL,first03-KON-OBSL-OB05,first03,03,KON,03-KON,OBSL,-,OBSL,OB05,no_data,Полюс Вернинское,573,Самосвалы БелАЗ-7547
811,Самосвал карьерный HD785-7 №1609,100000008666,ТР Самосвал HD785-7 №1609,Текущий ремонт,APP1,1100381405,ТР Самосвал HD785-7 №1609,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-06-27,2022-06-27,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,Самосвал карьерный HD785-7 №1609,03-CTT-KD01,1213011220.0,E01_01,Самосвалы карьерные,100000008666,Самосвал карьерный HD785-7 №1609,E01_01,Самосвалы карьерные,Самосвал №1609,03-CTT-K787,first03-CTT-KD01,first03,03,CTT,03-CTT,KD01,-,KD01,no_data,no_data,Полюс Вернинское,3079,Самосвалы Komatsu HD785-7
812,ЭД асинх АИР100S4,100000009365,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359156,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-05-17,6,5,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР100S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
813,ЭД асинх АИРМ80B4,100000009364,(ТО) АИРМ80B4,Техническое обслуживание,APP1,1100359138,(ТО) АИРМ80B4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-05-17,6,5,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИРМ80B4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
814,ЭД асинх АИР80В4,100000009363,(ТО) АИР80В4,Техническое обслуживание,APP1,1100359134,(ТО) АИР80В4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-05-17,6,5,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИР80В4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
815,ЭД асинх АИРМ132S4E3,100000009362,(ТО) АИРМ132S4,Техническое обслуживание,APP1,1100359325,(ТО) АИРМ132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-05-17,6,5,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИРМ132S4E3,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
816,ЭД асинх АИРМ132S4E3,100000009361,(ТО) АИРМ132S4,Техническое обслуживание,APP1,1100359329,(ТО) АИРМ132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-04-17,6,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИРМ132S4E3,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
817,ЭД асинх АИРМ132S4E3,100000009710,(ТО) АИРМ132S4,Техническое обслуживание,APP1,1100359321,(ТО) АИР132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-06-07,6,6,без переноса в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх АИРМ132S4E3,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
818,ЭД асинх 5АИ132S4,100000009360,(ТО) 5АИ132S4,Техническое обслуживание,APP1,1100359152,(ТО) 5АИ132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-06-27,2022-04-17,6,4,перенос в другой месяц,0,0,0,0,0,0,0,0,0,0,0,0,0,ЭД асинх 5АИ132S4,03-RUD-EKSK-OOBR-EX02,1212011220.0,E32_01,Двигатели асинхронные,100000009136,Экскаватор электрический ЭКГ-10 №1207,E03_02,Экскаваторы электрич,Экскаватор №1207,03-RUD-EKSK-OOBR-EXCV,first03-RUD-EKSK-OOBR-EX02,first03,03,RUD,03-RUD,EKSK,-,EKSK,OOBR,no_data,Полюс Вернинское,5418,Экскаваторы
