level_1,eo_code,month_year,eo_model_id,man_hours
first11,100000062382,3_2023,65,87.21000000000001
first11,100000062382,4_2023,65,121.35000000000001
first11,100000062382,5_2023,65,95.46000000000001
first11,100000062382,6_2023,65,85.89
first11,100000062383,1_2023,65,87.21
first11,100000062383,2_2023,65,86.73
first11,100000062383,3_2023,65,87.21000000000001
first11,100000062383,4_2023,65,121.35000000000001
first11,100000062383,5_2023,65,95.46000000000001
first11,100000062383,6_2023,65,85.89
first11,100000062384,1_2023,65,87.21
first11,100000062384,2_2023,65,86.73
first11,100000062384,3_2023,65,87.21000000000001
first11,100000062384,4_2023,65,121.35000000000001
first11,100000062384,5_2023,65,95.46000000000001
first11,100000062384,6_2023,65,85.89
first11,100000062385,10_2023,65,123.66
first11,100000062385,10_2024,65,92.01
first11,100000062385,11_2023,65,94.8
first11,100000062385,11_2024,65,116.55
first11,100000062385,12_2023,65,117.21000000000001
first11,100000062385,12_2024,65,95.46000000000001
first11,100000062385,1_2023,65,87.21000000000001
first11,100000062385,1_2024,65,129.81
first11,100000062385,1_2025,65,159.81
first11,100000062385,2_2023,65,86.73
first11,100000062385,2_2024,65,124.14
first11,100000062385,2_2025,65,85.23
first11,100000062385,3_2023,65,117.21000000000001
first11,100000062385,3_2024,65,87.21000000000001
first11,100000062385,3_2025,65,88.71000000000001
first11,100000062385,4_2023,65,98.10000000000001
first11,100000062385,4_2024,65,502.8
first11,100000062385,4_2025,65,129.75
first11,100000062385,5_2023,65,118.71000000000001
first11,100000062385,5_2024,65,125.46000000000001
first11,100000062385,5_2025,65,87.21000000000001
first11,100000062385,6_2023,65,86.55
first11,100000062385,6_2024,65,86.55
first11,100000062385,6_2025,65,117.39
first11,100000062385,7_2023,65,166.56
first11,100000062385,7_2024,65,161.31
first11,100000062385,8_2023,65,88.71
first11,100000062385,8_2024,65,87.21000000000001
first11,100000062385,9_2023,65,86.55
first11,100000062385,9_2024,65,124.8
first11,100000062386,10_2023,65,123.66
first11,100000062386,10_2024,65,92.01
first11,100000062386,11_2023,65,94.8
first11,100000062386,11_2024,65,116.55
first11,100000062386,12_2023,65,117.21000000000001
first11,100000062386,12_2024,65,95.46000000000001
first11,100000062386,1_2023,65,87.21000000000001
first11,100000062386,1_2024,65,129.81
first11,100000062386,1_2025,65,159.81
first11,100000062386,2_2023,65,86.73
first11,100000062386,2_2024,65,124.14
first11,100000062386,2_2025,65,85.23
first11,100000062386,3_2023,65,117.21000000000001
first11,100000062386,3_2024,65,87.21000000000001
first11,100000062386,3_2025,65,88.71000000000001
first11,100000062386,4_2023,65,98.10000000000001
first11,100000062386,4_2024,65,502.8
first11,100000062386,4_2025,65,129.75
first11,100000062386,5_2023,65,118.71000000000001
first11,100000062386,5_2024,65,125.46000000000001
first11,100000062386,5_2025,65,87.21000000000001
first11,100000062386,6_2023,65,86.55
first11,100000062386,6_2024,65,86.55
first11,100000062386,6_2025,65,117.39
first11,100000062386,7_2023,65,166.56
first11,100000062386,7_2024,65,161.31
first11,100000062386,8_2023,65,88.71
first11,100000062386,8_2024,65,87.21000000000001
first11,100000062386,9_2023,65,86.55
first11,100000062386,9_2024,65,124.8
first11,100000062387,10_2023,65,123.66
first11,100000062387,10_2024,65,92.01
first11,100000062387,11_2023,65,94.8
first11,100000062387,11_2024,65,116.55
first11,100000062387,12_2023,65,117.21000000000001
first11,100000062387,12_2024,65,95.46000000000001
first11,100000062387,1_2023,65,87.21000000000001
first11,100000062387,1_2024,65,129.81
first11,100000062387,1_2025,65,159.81
first11,100000062387,2_2023,65,86.73
first11,100000062387,2_2024,65,124.14
first11,100000062387,2_2025,65,85.23
first11,100000062387,3_2023,65,117.21000000000001
first11,100000062387,3_2024,65,87.21000000000001
first11,100000062387,3_2025,65,88.71000000000001
first11,100000062387,4_2023,65,98.10000000000001
first11,100000062387,4_2024,65,502.8
first11,100000062387,4_2025,65,129.75
first11,100000062387,5_2023,65,118.71000000000001
first11,100000062387,5_2024,65,125.46000000000001
first11,100000062387,5_2025,65,87.21000000000001
first11,100000062387,6_2023,65,86.55
