,Название ЕО,ЕО,ТекстПланаПредупрТОРО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,ПланДатаНачала_month,НовДатаНачала_month
527,ЭД асинх АИР80S4,100000009708,(ТО) АИР80S4,Техническое обслуживание,APP1,1100359344,(ТО) АИР80S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-02,12,12
269,ЭД асинх АИРМ132S4E3,100000009359,(ТО) АИРМ132S4E3,Техническое обслуживание,APP1,1100359296,(ТО) АИРМ132S4E3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-10-12,12,10
103,ЭД пост тока ДЭ-818,100000009351,(ТО) ДЭ-818,Техническое обслуживание,APP1,1100359053,(ТО) ДЭ-818 К 005,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12
519,ЭД асинх АИР112S4,100000009707,(ТО) АИР112S4,Техническое обслуживание,APP1,1100359171,(ТО) АИР112S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-02,12,12
290,ЭД асинх АИРМ132S4E3,100000009362,(ТО) АИРМ132S4,Техническое обслуживание,APP1,1100359327,(ТО) АИРМ132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11
306,ЭД асинх АИРМ80B4,100000009364,(ТО) АИРМ80B4,Техническое обслуживание,APP1,1100359340,(ТО) АИРМ80B4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11
322,ЭД асинх АИР100S4,100000009366,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359113,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-02,12,12
245,ЭД асинх Д-31,100000009357,(ТО) Д-31,Техническое обслуживание,APP1,1100359095,(ТО) Д-31,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-12-22,12,12
283,ЭД асинх АИРМ132S4E3,100000009361,(ТО) АИРМ132S4,Техническое обслуживание,APP1,1100359331,(ТО) АИРМ132S4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-10-12,12,10
314,ЭД асинх АИР100S4,100000009365,(ТО) АИР100S4У2,Техническое обслуживание,APP1,1100359110,(ТО) АИР100S4У2,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП ГИП  МТРЦ ТКБЕ СГГС,2022-12-22,2022-11-12,12,11
