BE_id,ЗаводРасположТехнОб,BE_name,eo_code,eo_subclass_id,eo_subclass_name,eo_model_id,eo_model_name,ТипЕдОборуд,eo_description,Группа плановиков,teh_mesto_id,teh_mesto_name,mvz,Серийный номер изготовителя,constr_type_id,constr_type_descr,Номер модели,operation_start_date,operation_finish_date_sap,expected_operation_finish_date,last_overhaul_date,konserv_start_date,konserv_finish_date,Вышестоящая ЕО,Инвентарный номер,Центр затрат,Название Центра затрат,Название вида оборудования,Название типа оборудования,Наименование МВЗ
1100,1105,"АО ""Полюс Красноярск""",100000065578,E01_01,Самосвалы карьерные,61,Самосвалы БелАЗ-7540,O,Самосвал карьерный БЕЛАЗ-7540А №51,100,11-RUD-CGTR-SEBT-BE06,Самосвал карьерный №51,1113011520,Y3B7540A050022537,960003984,БЕЛАЗ-7540А_E01_01,,01.06.2005,,01.12.2022,,,,,000014282,111301,Парки БА,Транспорт,Основной,СЭБТ - Белазы
1100,1105,"АО ""Полюс Красноярск""",100000065579,E01_01,Самосвалы карьерные,61,Самосвалы БелАЗ-7540,O,Самосвал карьерный БЕЛАЗ-7540А №54,100,11-RUD-CGTR-SEBT-BE09,Самосвал карьерный №54,1113011520,Y3B7540A50022585,960003984,БЕЛАЗ-7540А_E01_01,,01.07.2005,01.03.2022,,,,,,000015042,111301,Парки БА,Транспорт,Основной,СЭБТ - Белазы
1100,1105,"АО ""Полюс Красноярск""",100000065580,E01_01,Самосвалы карьерные,61,Самосвалы БелАЗ-7540,O,Самосвал карьерный БЕЛАЗ-7540А №53,100,11-RUD-CGTR-SEBT-BE08,Самосвал карьерный №53,1113011520,Y3B7540A50022582,960003984,БЕЛАЗ-7540А_E01_01,,01.07.2005,,01.12.2022,,,,,000015043,111301,Парки БА,Транспорт,Основной,СЭБТ - Белазы
1100,1105,"АО ""Полюс Красноярск""",100000055512,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №222,100,11-RUD-CGTR-SEBT-KH04,Самосвал карьерный №222,1113011220,4645,960000003,HD785-5_E01_01,,18.10.2005,,,,,,,000016099,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000055511,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №220,100,11-RUD-CGTR-SEBT-KH03,Самосвал карьерный №220,1113011220,4647,960000003,HD785-5_E01_01,,18.10.2005,,,,,,,000016101,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065550,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №227,100,11-RUD-CGTR-SEBT-KH07,Самосвал карьерный №227,1113011220,4750,960000003,HD785-5_E01_01,,14.12.2005,,01.12.2022,,,,,000016312,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065551,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №229,100,11-RUD-CGTR-SEBT-KH08,Самосвал карьерный №229,1113011220,4749,960000003,HD785-5_E01_01,,14.12.2005,,01.12.2022,,,,,000016314,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000055513,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №224,100,11-RUD-CGTR-SEBT-KH05,Самосвал карьерный №224,1113012020,4693,960000003,HD785-5_E01_01,,16.03.2006,,01.12.2022,,,,,000016773,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу141тн
1100,1105,"АО ""Полюс Красноярск""",100000065552,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №232,100,11-RUD-CGTR-SEBT-KH11,Самосвал карьерный №232,1113011220,4777,960000003,HD785-5_E01_01,,16.03.2006,25.10.2021,,,,,,000016775,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065553,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №226,100,11-RUD-CGTR-SEBT-KH06,Самосвал карьерный №226,1113011220,4728,960000003,HD785-5_E01_01,,16.03.2006,,01.12.2022,,,,,000016776,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065554,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №230,100,11-RUD-CGTR-SEBT-KH09,Самосвал карьерный №230,1113011220,4774,960000003,HD785-5_E01_01,,16.03.2006,,01.12.2022,,,,,000016777,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065555,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №233,100,11-RUD-CGTR-SEBT-KH12,Самосвал карьерный №233,1113011220,4775,960000003,HD785-5_E01_01,,16.03.2006,,01.12.2022,,,,,000016778,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065556,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №231,100,11-RUD-CGTR-SEBT-KH10,Самосвал карьерный №231,1113011220,4776,960000003,HD785-5_E01_01,,16.03.2006,,01.12.2022,,,,,000016779,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065557,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №234,100,11-RUD-CGTR-SEBT-KH13,Самосвал карьерный №234,1113011220,4951,960000003,HD785-5_E01_01,,02.06.2006,,01.12.2022,,,,,000016991,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
1100,1105,"АО ""Полюс Красноярск""",100000065558,E01_01,Самосвалы карьерные,73,Самосвалы Komatsu HD785-5,O,Самосвал карьерный HD785-5 №237,100,11-RUD-CGTR-SEBT-KH16,Самосвал карьерный №237,1113011220,4950,960000003,HD785-5_E01_01,,02.06.2006,,01.12.2022,,,,,000016992,111301,Парки БА,Транспорт,Основной,СЭБТ - Коматсу90тн
