,Название ЕО,ЕО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,eo_main_class_description,level_1_description,Вышестоящее техместо,Комментарий,comment_category,calc
53,Самосвал карьерный HD785-7 №1612,100000008669,Текущий ремонт,APP1,1100381663,ТР Самосвал HD785-7 №1612,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-12,2022-02-09,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,Корректировка ремонтной программы,Корректировка ремонтной программы,1
57,Самосвал карьерный HD785-7 №1613,100000008670,Текущий ремонт,APP1,1100380637,ТР Самосвал HD785-7 №1613,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-14,2022-02-22,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,Корректировка ремонтной программы,Корректировка ремонтной программы,1
71,Экскаватор гидравл. PC400-7 №1201,100000008675,Замена,APP1,1100360276,Замена двигателя,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ ГИП  СГГС,2022-01-17,2022-04-02,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
72,ДВС SAA6D125E-3,100000010239,Капитальный ремонт,APP1,1100360154,КР двигателя SAA6D125E-3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ МТРЦ ТКБЕ КРМТ ПЗТГ СГГС,2022-01-17,2022-02-01,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,"Перенос на более поздний срок, ввиду полученой информации от МТО по срокам поставки",сроки поставки запчастей (компонентов),1
74,Самосвал карьерный БЕЛАЗ-7547 №2446,100000068232,Техническое обслуживание 4,APP1,1100368835,ТО-4 БелАЗ 7451 СЛ №6,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-19,2022-02-23,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
77,Самосвал карьерный БЕЛАЗ-7547 №2446,100000068232,Текущий ремонт,APP1,1100368854,ТР БелАЗ 7547 №6 СЛ,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-19,2022-02-23,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
78,Самосвал карьерный HD785-7 №1611,100000008668,Техническое обслуживание 4,APP1,1100359462,Техническое обслуживание 4,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-20,2022-02-04,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,Корректировка ремонтной программы,Корректировка ремонтной программы,1
79,Самосвал карьерный HD785-7 №1610,100000008667,Текущий ремонт,AVS1,1200061027,ТР отопителя салона,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-20,2022-02-25,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,нет комментария,нет комментария,1
81,Самосвал карьерный HD785-7 №1609,100000008666,Текущий ремонт,AVS1,1200061026,ТР отопителя салона,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-20,2022-02-26,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,нет комментария,нет комментария,1
84,Самосвал карьерный HD785-7 №1611,100000008668,Текущий ремонт,AVS1,1200061028,ТР отопителя салона,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-20,2022-02-04,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,нет комментария,нет комментария,1
