year,month,calendar_fond,downtime,eto,to250,tr1,to500,to1000,to1500,lining_partitial,to2000,to2500,to4000,to5000,to8000,lining_full,tr2,overhaul_total,tr3,eo_code,level_1,eo_model_name,eo_model_id,eo_description,teh_mesto,mvz,constr_type,avearage_day_operation_hours_updated,operation_start_date,avearage_day_operation_hours,operation_finish_date,eo_main_class_description
2025,4,720,"62,82","19,8","2,0","30,0","0,0","0,0","13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,5,744,"71,14","20,46","1,0","20,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,6,720,"74,16","19,8","2,0","20,0","0,0","0,0","13,0","12,0","14,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,7,744,"64,8","20,46","3,0","31,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,8,744,"53,14","20,46","2,0","20,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,9,720,"112,82000000000001","19,8","1,0","30,0","0,0","0,0","13,0","9,0","0,0","19,0","0,0","0,0","23,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,10,744,"51,46","20,46","1,0","20,0","11,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,11,720,"75,48","19,8","2,0","30,0","0,0","12,0","13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2025,12,744,"51,800000000000004","20,46","1,0","20,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,1,744,"77,48","20,46","1,0","20,0","0,0","0,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","48,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,2,672,"63,82","18,48","1,0","30,0","0,0","12,0","13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,3,744,"66,48","20,46","3,0","10,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","24,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,4,720,"112,16","19,8","2,0","0,0","0,0","0,0","13,0","12,0","0,0","0,0","20,0","0,0","0,0","0,0","48,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,5,744,"112,48","20,46","2,0","0,0","0,0","0,0","0,0","0,0","0,0","19,0","0,0","0,0","0,0","0,0","73,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,6,720,"92,48","19,8","1,0","0,0","0,0","12,0","13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","48,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,7,744,"93,48","20,46","1,0","0,0","0,0","0,0","0,0","12,0","14,0","0,0","0,0","0,0","0,0","0,0","48,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
2026,8,744,"102,82000000000001","20,46","2,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","72,0","0,0","0,0",sl_730_1,first06,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №1 (для расчета),05-KAR-UTTR-K817,no_data,960003680,"20,37",2024-09-01,"20,37",2034-09-01,Самосвалы карьерные
