Год,Месяц,БЕ,Класс ЕО,Модель ЕО,count,month_year
2022,6,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,6_2022
2022,6,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,6_2022
2022,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,7_2022
2022,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,7_2022
2022,7,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,7_2022
2022,7,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,7_2022
2022,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,8_2022
2022,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,8_2022
2022,8,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,8_2022
2022,8,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,8_2022
2022,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,9_2022
2022,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,9_2022
2022,9,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,9_2022
2022,9,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,9_2022
2022,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,10_2022
2022,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,10_2022
2022,10,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,10_2022
2022,10,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,10_2022
2022,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,11_2022
2022,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,11_2022
2022,11,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,11_2022
2022,11,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,11_2022
2022,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,12_2022
2022,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,12_2022
2022,12,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,12_2022
2022,12,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,12_2022
2023,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,70,1_2023
2023,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,79,1_2023
2023,1,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,1_2023
2023,1,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,1_2023
2023,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,2_2023
2023,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,2_2023
2023,2,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,2_2023
2023,2,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,2_2023
2023,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,3_2023
2023,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,3_2023
2023,3,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,3_2023
