ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000065623,2013-12-13,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №525,1
100000065624,2013-12-13,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №524,1
100000065625,2013-12-31,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №526,1
100000065626,2013-12-13,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №523,1
100000065627,2013-12-31,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №527,1
100000065628,2014-02-28,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №528,1
100000065629,2021-07-03,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №531,1
100000065630,2014-02-28,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №529,1
100000065631,2014-02-28,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №532,1
100000065632,2014-02-28,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №530,1
100000065633,2014-03-06,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №533,1
100000065634,2014-03-06,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №534,1
100000065635,2014-03-06,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №536,1
100000065636,2014-03-06,2025-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №535,1
100000065637,2012-07-05,2024-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №518,1
100000065638,2012-07-05,2024-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №520,1
100000065639,2012-07-05,2024-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №519,1
100000065640,2012-07-05,2024-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №517,1
100000065641,2012-09-30,2024-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №521,1
100000065643,2012-09-30,2024-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №522,1
100000065977,2016-08-10,2030-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №446,1
100000065978,2016-08-10,2030-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №447,1
100000065979,2016-08-10,2030-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №448,1
100000065980,2016-08-10,2030-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №449,1
100000065981,2016-08-10,2030-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №450,1
100000065514,2017-11-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №701,1
100000065515,2017-11-03,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №702,1
100000065516,2017-11-09,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №703,1
100000065517,2017-11-30,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №704,1
100000065518,2017-11-30,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №705,1
100000065519,2018-02-26,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №714,1
100000065520,2017-12-21,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №706,1
100000065521,2017-12-18,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №707,1
100000065523,2017-12-27,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №708,1
100000065524,2018-01-31,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №710,1
100000065525,2018-02-05,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №709,1
100000065526,2018-02-09,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №711,1
100000065527,2018-02-22,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №712,1
100000065528,2018-04-10,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №717,1
100000065529,2018-04-12,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №715,1
100000065530,2018-04-25,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №716,1
100000065531,2018-05-03,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №718,1
100000065532,2018-05-11,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №719,1
100000065535,2018-05-18,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №720,1
100000065536,2018-05-24,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №721,1
100000065537,2018-05-31,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №722,1
100000065538,2018-06-25,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №723,1
100000065539,2018-06-30,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №724,1
100000065540,2018-07-16,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №725,1
100000065541,2018-07-28,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №726,1
100000065542,2018-08-02,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №727,1
100000065543,2018-08-10,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №728,1
100000065544,2018-08-17,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №729,1
100000065546,2018-08-24,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №730,1
100000065547,2018-09-03,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №731,1
100000065548,2018-09-10,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №732,1
100000065512,2018-09-15,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №733,1
100000065513,2018-09-20,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №734,1
100000065511,2018-09-30,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №735,1
100000026804,2019-09-06,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №736,1
100000026805,2019-10-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №737,1
100000026806,2019-10-24,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №738,1
100000026807,2019-11-06,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №739,1
100000026808,2019-11-14,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №740,1
100000026809,2019-11-23,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №741,1
100000026810,2019-12-16,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №742,1
100000036418,2019-12-21,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №743,1
100000036420,2020-01-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №744,1
100000036421,2020-01-03,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №745,1
100000054847,2020-10-06,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №746,1
100000054846,2020-10-08,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №747,1
100000054848,2020-10-11,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №748,1
100000054849,2020-10-19,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №749,1
100000054851,2020-10-29,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №751,1
100000054850,2020-11-12,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №750,1
100000054852,2020-11-20,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №752,1
100000054853,2020-11-23,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №753,1
100000054854,2020-11-28,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №754,1
100000054855,2020-12-07,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №755,1
100000054856,2020-12-11,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №756,1
100000054857,2020-12-18,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №757,1
100000054858,2020-12-25,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №758,1
100000054859,2021-01-15,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №759,1
100000054860,2021-02-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №760,1
100000054861,2021-02-08,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №761,1
100000054978,2021-05-03,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №762,1
100000054979,2021-05-04,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №763,1
100000054980,2021-05-10,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №764,1
100000054981,2021-05-21,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №765,1
100000054982,2021-07-20,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №766,1
100000054983,2021-07-25,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №767,1
100000054984,2021-08-05,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №768,1
100000054985,2021-08-11,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №769,1
100000054986,2021-08-19,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №770,1
100000054987,2021-08-27,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №771,1
100000054988,2021-09-06,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №772,1
100000054989,2021-09-09,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №773,1
100000054990,2021-09-18,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №774,1
100000054991,2021-09-19,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №775,1
100000054992,2021-10-06,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №776,1
100000054993,2021-10-09,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №777,1
100000054994,2021-10-16,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №778,1
100000054995,2021-11-05,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №779,1
100000054996,2021-12-04,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №780,1
100000008673,2017-12-12,2030-01-01,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №1619,1
100000008674,2017-12-12,2030-01-01,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №1620,1
100000054997,2023-02-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №781,1
100000054998,2023-02-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №782,1
100000054999,2023-02-01,2030-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №783,1
100000084396,2018-03-16,2030-03-16,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №13,1
100000084397,2018-03-16,2030-03-16,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №14,1
100000084398,2018-04-23,2030-04-23,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №15,1
100000084399,2018-04-23,2030-04-23,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №16,1
100000084402,2018-05-30,2030-05-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №19,1
100000084403,2018-05-30,2030-05-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №20,1
100000084400,2018-04-23,2030-04-23,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №17,1
100000084401,2018-04-23,2030-04-23,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №18,1
100000084404,2018-05-30,2030-05-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №21,1
100000084405,2018-05-30,2030-05-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №22,1
100000084406,2018-06-30,2030-06-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №23,1
100000084407,2018-06-30,2030-06-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №24,1
100000084408,2018-06-30,2030-06-30,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №25,1
100000084409,2018-07-31,2030-07-31,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №26,1
100000084410,2018-07-31,2030-07-31,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №27,1
100000084411,2018-07-31,2030-07-31,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №28,1
