eo,year,month,calendar_fond,downtime_status
100000065514,2024,5,744,"87,48"
100000065514,2024,6,720,"86,82000000000001"
100000065514,2024,7,744,"65,14"
100000065514,2024,8,744,"87,48"
100000065514,2024,9,720,"86,82000000000001"
100000065514,2024,10,744,"65,14"
100000065514,2024,11,720,"86,82000000000001"
100000065514,2024,12,744,"65,14"
100000065514,2025,1,744,"87,48"
100000065514,2025,2,672,"70,16"
100000065514,2025,3,744,"80,48"
100000065514,2025,4,720,"86,82000000000001"
100000065514,2025,5,744,"65,14"
100000065514,2025,6,720,"87,48"
100000065514,2025,7,744,"601,96"
100000065514,2025,8,744,"67,14"
100000065514,2025,9,720,"86,82000000000001"
100000065514,2025,10,744,"65,14"
100000065514,2025,11,720,"86,82000000000001"
100000065514,2025,12,744,"87,48"
100000065514,2026,1,744,"65,14"
100000065514,2026,2,672,"85,5"
100000065514,2026,3,744,"65,14"
100000065514,2026,4,720,"86,82000000000001"
100000065514,2026,5,744,"87,48"
100000065514,2026,6,720,"64,48"
100000065514,2026,7,744,"89,48"
100000065514,2026,8,744,"67,14"
100000065514,2026,9,720,"91,82000000000001"
100000065514,2026,10,744,"93,48"
100000065514,2026,11,720,"295,54"
100000065514,2026,12,744,"96,48"
100000065514,2027,1,744,"94,48"
100000065514,2027,2,672,"75,16"
100000065514,2027,3,744,"90,48"
100000065514,2027,4,720,"84,82000000000001"
100000065514,2027,5,744,"104,48"
100000065514,2027,6,720,"76,48"
100000065514,2027,7,744,"107,48"
100000065514,2027,8,744,"77,82000000000001"
100000065514,2027,9,720,"107,84"
100000065514,2027,10,744,"79,82000000000001"
100000065514,2027,11,720,"110,84"
100000065514,2027,12,744,"101,16"
100000065514,2028,1,744,"95,16"
100000065514,2028,2,696,"94,16"
100000065514,2028,3,744,"494,26"
100000065514,2028,4,720,"216,86"
100000065514,2028,5,744,"87,14"
100000065514,2028,6,720,"121,5"
100000065514,2028,7,744,"88,48"
100000065514,2028,8,744,"125,16"
100000065514,2028,9,720,"89,82000000000001"
100000065514,2028,10,744,"128,16"
100000065514,2028,11,720,"92,48"
100000065514,2028,12,744,"131,16"
100000065514,2029,1,744,"93,82000000000001"
100000065514,2029,2,672,"94,5"
100000065514,2029,3,744,"134,16"
100000065514,2029,4,720,"97,82000000000001"
100000065514,2029,5,744,"137,16"
100000065514,2029,6,720,"99,82000000000001"
100000065514,2029,7,744,"139,5"
100000065514,2029,8,744,"304,54"
100000065514,2029,9,720,"133,5"
100000065514,2029,10,744,"103,48"
100000065514,2029,11,720,"145,5"
100000065514,2029,12,744,"105,48"
100000008673,2017,12,479,"32,54"
100000008673,2018,1,744,"79,14"
100000008673,2018,2,672,"57,82"
100000008673,2018,3,744,"78,48"
100000008673,2018,4,720,"77,82000000000001"
100000008673,2018,5,744,"59,14"
100000008673,2018,6,720,"79,14"
100000008673,2018,7,744,"78,48"
100000008673,2018,8,744,"59,14"
100000008673,2018,9,720,"77,82000000000001"
100000008673,2018,10,744,"79,14"
100000008673,2018,11,720,"58,480000000000004"
100000008673,2018,12,744,"78,48"
100000008673,2019,1,744,"78,48"
100000008673,2019,2,672,"57,160000000000004"
100000008673,2019,3,744,"314,54"
100000008673,2019,4,720,"59,14"
100000008673,2019,5,744,"78,48"
100000008673,2019,6,720,"77,82000000000001"
100000008673,2019,7,744,"59,14"
100000008673,2019,8,744,"79,14"
100000008673,2019,9,720,"78,48"
100000008673,2019,10,744,"59,14"
100000008673,2019,11,720,"77,82000000000001"
100000008673,2019,12,744,"79,14"
100000008673,2020,1,744,"59,800000000000004"
100000008673,2020,2,696,"77,16"
100000008673,2020,3,744,"59,14"
100000008673,2020,4,720,"78,48"
100000008673,2020,5,744,"79,14"
100000008673,2020,6,720,"58,480000000000004"
100000008673,2020,7,744,"603,96"
100000008673,2020,8,744,"79,8"
100000008673,2020,9,720,"58,480000000000004"
100000008673,2020,10,744,"78,48"
100000008673,2020,11,720,"62,480000000000004"
100000008673,2020,12,744,"75,14"
100000008673,2021,1,744,"79,14"
100000008673,2021,2,672,"57,160000000000004"
100000008673,2021,3,744,"78,48"
100000008673,2021,4,720,"78,48"
100000008673,2021,5,744,"59,800000000000004"
100000008673,2021,6,720,"77,82000000000001"
100000008673,2021,7,744,"75,48"
100000008673,2021,8,744,"62,800000000000004"
100000008673,2021,9,720,"78,48"
100000008673,2021,10,744,"67,14"
100000008673,2021,11,720,"305,22"
100000008673,2021,12,744,"78,48"
100000008673,2022,1,744,"74,14"
100000008673,2022,2,672,"62,82"
100000008673,2022,3,744,"78,48"
100000008673,2022,4,720,"58,480000000000004"
100000008673,2022,5,744,"78,48"
100000008673,2022,6,720,"71,48"
100000008673,2022,7,744,"66,14"
100000008673,2022,8,744,"78,48"
100000008673,2022,9,720,"63,480000000000004"
100000008673,2022,10,744,"73,48"
100000008673,2022,11,720,"78,48"
100000008673,2022,12,744,"59,14"
100000008673,2023,1,744,"78,48"
100000008673,2023,2,672,"334,24"
100000008673,2023,3,744,"326,88"
100000008673,2023,4,720,"77,82000000000001"
100000008673,2023,5,744,"59,14"
100000008673,2023,6,720,"77,82000000000001"
100000008673,2023,7,744,"79,14"
100000008673,2023,8,744,"59,14"
100000008673,2023,9,720,"77,82000000000001"
100000008673,2023,10,744,"78,48"
100000008673,2023,11,720,"59,14"
100000008673,2023,12,744,"79,14"
100000008673,2024,1,744,"78,48"
100000008673,2024,2,696,"57,82"
100000008673,2024,3,744,"79,14"
100000008673,2024,4,720,"59,14"
100000008673,2024,5,744,"78,48"
100000008673,2024,6,720,"313,22"
100000008673,2024,7,744,"65,14"
100000008673,2024,8,744,"72,48"
100000008673,2024,9,720,"78,48"
100000008673,2024,10,744,"59,14"
100000008673,2024,11,720,"77,82000000000001"
100000008673,2024,12,744,"78,48"
100000008673,2025,1,744,"59,14"
100000008673,2025,2,672,"77,16"
100000008673,2025,3,744,"78,48"
100000008673,2025,4,720,"58,480000000000004"
100000008673,2025,5,744,"78,48"
100000008673,2025,6,720,"59,14"
100000008673,2025,7,744,"79,14"
100000008673,2025,8,744,"78,48"
100000008673,2025,9,720,"58,480000000000004"
100000008673,2025,10,744,"603,96"
100000008673,2025,11,720,"77,82000000000001"
100000008673,2025,12,744,"59,14"
100000008673,2026,1,744,"78,48"
100000008673,2026,2,672,"57,82"
100000008673,2026,3,744,"79,14"
100000008673,2026,4,720,"77,82000000000001"
100000008673,2026,5,744,"59,14"
100000008673,2026,6,720,"78,48"
100000008673,2026,7,744,"79,14"
