year,month,level_1_description,eo_class_description,eo_model_name,count
2026,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2026,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,53
2027,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2027,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2028,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2029,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2030,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2031,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,60
2032,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2032,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2033,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,62
2034,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,48
2034,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,48
2034,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,48
2034,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,48
2035,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,33
2035,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,33
2035,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,33
2035,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,33
2035,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,33
2035,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,33
2035,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,18
2035,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,18
2035,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,18
2035,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,18
2035,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,18
2035,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,18
2036,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2036,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,9
2037,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2037,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2038,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2039,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2040,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,1,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,2,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,3,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,4,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,5,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,6,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,7,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,8,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,9,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,10,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,11,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
2041,12,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,2
