ЕО,eo_model_id,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000059062,29,2018-08-15,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозер D85EХ-15 №3302,1
100000059060,21,2018-10-03,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3305,1
100000027476,25,2018-12-04,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3216,1
100000026787,25,2019-01-17,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3217,1
100000026786,25,2019-01-31,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3218,1
100000026791,26,2019-05-07,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D63E,Бульдозер D63E-12 №3306,1
100000026792,26,2019-05-07,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D63E,Бульдозер D63E-12 №3307,1
100000048874,24,2016-06-15,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5D №3228,1
100000059026,24,2015-12-26,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №201,1
100000059037,25,2015-06-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №203,1
100000059036,25,2015-06-06,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №202,1
100000065593,Списание,2008-11-19,2021-07-31,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 777F,Самосвал карьерный 777F №136,1
100000026775,29,2019-07-13,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозер D85EХ-15 №3303,1
100000026793,19,2019-08-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер Т-11,Бульдозер Т-11.01Я1МБР-3 №3401,1
100000054780,29,2020-10-30,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозер D85EХ-15 №3301,1
100000054862,27,2020-10-30,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3310,1
