ЕО,Дата начала эксплуатации,first_day_of_month_datetime,Год,Месяц,day,age_in_sec,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,prev_year,count
100000062380,2011-05-20,2020-01-01,2020,1,1,271987200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2019,1
100000062380,2011-05-20,2021-01-01,2021,1,1,303609600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2020,1
100000062380,2011-05-20,2022-01-01,2022,1,1,335145600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2021,1
100000062380,2011-05-20,2023-01-01,2023,1,1,366681600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №424,2022,1
100000065606,2010-12-16,2011-01-01,2011,1,1,1382400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2010,1
100000065606,2010-12-16,2012-01-01,2012,1,1,32918400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2011,1
100000065606,2010-12-16,2013-01-01,2013,1,1,64540800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2012,1
100000065606,2010-12-16,2014-01-01,2014,1,1,96076800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2013,1
100000065606,2010-12-16,2015-01-01,2015,1,1,127612800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2014,1
100000065606,2010-12-16,2016-01-01,2016,1,1,159148800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2015,1
100000065606,2010-12-16,2017-01-01,2017,1,1,190771200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2016,1
100000065606,2010-12-16,2018-01-01,2018,1,1,222307200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2017,1
100000065606,2010-12-16,2019-01-01,2019,1,1,253843200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2018,1
100000065606,2010-12-16,2020-01-01,2020,1,1,285379200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2019,1
100000065606,2010-12-16,2021-01-01,2021,1,1,317001600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2020,1
100000065606,2010-12-16,2022-01-01,2022,1,1,348537600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2021,1
100000065606,2010-12-16,2023-01-01,2023,1,1,380073600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №501,2022,1
100000065607,2010-12-16,2011-01-01,2011,1,1,1382400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2010,1
100000065607,2010-12-16,2012-01-01,2012,1,1,32918400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2011,1
100000065607,2010-12-16,2013-01-01,2013,1,1,64540800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2012,1
100000065607,2010-12-16,2014-01-01,2014,1,1,96076800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2013,1
100000065607,2010-12-16,2015-01-01,2015,1,1,127612800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2014,1
100000065607,2010-12-16,2016-01-01,2016,1,1,159148800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2015,1
100000065607,2010-12-16,2017-01-01,2017,1,1,190771200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2016,1
100000065607,2010-12-16,2018-01-01,2018,1,1,222307200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2017,1
100000065607,2010-12-16,2019-01-01,2019,1,1,253843200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2018,1
100000065607,2010-12-16,2020-01-01,2020,1,1,285379200.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2019,1
100000065607,2010-12-16,2021-01-01,2021,1,1,317001600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2020,1
100000065607,2010-12-16,2022-01-01,2022,1,1,348537600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2021,1
100000065607,2010-12-16,2023-01-01,2023,1,1,380073600.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №502,2022,1
100000065608,2010-12-16,2011-01-01,2011,1,1,1382400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2010,1
100000065608,2010-12-16,2012-01-01,2012,1,1,32918400.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2011,1
100000065608,2010-12-16,2013-01-01,2013,1,1,64540800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2012,1
100000065608,2010-12-16,2014-01-01,2014,1,1,96076800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2013,1
100000065608,2010-12-16,2015-01-01,2015,1,1,127612800.0,2023-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №503,2014,1
