,level_1_description,eo_class_description,eo_model_name,year,month,eo_code,count
78,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,4,100000062379,1
79,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,5,100000062379,1
80,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,6,100000062379,1
81,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,7,100000062379,1
82,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,8,100000062379,1
83,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,9,100000062379,1
84,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,10,100000062379,1
85,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,11,100000062379,1
86,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2016,12,100000062379,1
87,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,1,100000062379,1
88,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,2,100000062379,1
89,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,3,100000062379,1
90,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,4,100000062379,1
91,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,5,100000062379,1
92,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,6,100000062379,1
93,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,7,100000062379,1
94,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,8,100000062379,1
95,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,9,100000062379,1
96,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,10,100000062379,1
97,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,11,100000062379,1
98,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2017,12,100000062379,1
99,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,1,100000062379,1
100,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,2,100000062379,1
101,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,3,100000062379,1
102,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,4,100000062379,1
103,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,5,100000062379,1
104,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,6,100000062379,1
105,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,7,100000062379,1
106,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,8,100000062379,1
107,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,9,100000062379,1
108,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,10,100000062379,1
109,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,11,100000062379,1
110,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2018,12,100000062379,1
111,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,1,100000062379,1
